experiment,subset,outcome,model,predictors,n,k,ols_r2,adj_r2,rmse,aic,spearman_first_predictor,abs_spearman_first_predictor
lora_rank,all,excess_val_loss,adapter_frobenius,adapter_frobenius,60,2,0.9576288850232096,0.9568983485580925,0.011010304964679293,-537.0708350750842,-0.7317588218949709,0.7317588218949709
lora_rank,all,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,60,2,0.9548912365064126,0.954113499204799,0.01136043244067581,-533.3142554694292,-0.8426785218116146,0.8426785218116146
lora_rank,all,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,60,2,0.8113120993875067,0.808058859721774,0.023234665702733914,-447.4531883938294,-0.7317588218949709,0.7317588218949709
lora_rank,all,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",60,3,0.790722991271585,0.7833799383337459,0.024469503741588336,-439.239321741181,,
lora_rank,all,excess_val_loss,alpha,log2_alpha,60,2,0.746250596108841,0.7418756063865797,0.026944300750147834,-429.67801739006404,-0.7414858863597662,0.7414858863597662
lora_rank,all,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",60,3,0.7462505961088409,0.7373471082530108,0.026944300750147834,-427.678017390064,,
lora_rank,all,excess_val_loss,adapter_detectable,adapter_detectable_rank,60,2,0.5765441219494429,0.5692431585347781,0.03480715161228979,-398.95188881626575,-0.8100807397798703,0.8100807397798703
lora_rank,all,excess_val_loss,adapter_stable_rank,adapter_stable_rank,60,2,0.5701046996853869,0.562692711748928,0.03507080630407765,-398.04634680932253,-0.6554042789663798,0.6554042789663798
lora_rank,all,excess_val_loss,adapter_effective_rank,adapter_effective_rank,60,2,0.4041508803582772,0.3938776196747992,0.041288827776747916,-378.4595995037036,-0.58110586273965,0.58110586273965
lora_rank,all,excess_val_loss,intruder_count,intruder_count,60,2,0.14947863142595263,0.13481446989881385,0.049329534442394254,-357.1078761430067,0.34337264762346825,0.34337264762346825
lora_rank,all,excess_val_loss,intruder_energy,intruder_energy,60,2,0.07577947535815888,0.059844638726403,0.05142238392381526,-352.12180594745934,0.34074004127927215,0.34074004127927215
lora_rank,all,excess_val_loss,gradient_detectable,gradient_detectable_rank,60,2,8.431179582635284e-05,-0.017155613862866348,0.053486735644374055,-347.3985905031741,0.001666898196384623,0.001666898196384623
lora_rank,all,excess_val_loss,rank,log2_rank,60,2,5.825229187905734e-12,-0.017241379304419047,0.05348899056817431,-347.3935315825094,,
lora_rank,nondiverged,excess_val_loss,adapter_frobenius,adapter_frobenius,60,2,0.9576288850232096,0.9568983485580925,0.011010304964679293,-537.0708350750842,-0.7317588218949709,0.7317588218949709
lora_rank,nondiverged,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,60,2,0.9548912365064126,0.954113499204799,0.01136043244067581,-533.3142554694292,-0.8426785218116146,0.8426785218116146
lora_rank,nondiverged,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,60,2,0.8113120993875067,0.808058859721774,0.023234665702733914,-447.4531883938294,-0.7317588218949709,0.7317588218949709
lora_rank,nondiverged,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",60,3,0.790722991271585,0.7833799383337459,0.024469503741588336,-439.239321741181,,
lora_rank,nondiverged,excess_val_loss,alpha,log2_alpha,60,2,0.746250596108841,0.7418756063865797,0.026944300750147834,-429.67801739006404,-0.7414858863597662,0.7414858863597662
lora_rank,nondiverged,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",60,3,0.7462505961088409,0.7373471082530108,0.026944300750147834,-427.678017390064,,
lora_rank,nondiverged,excess_val_loss,adapter_detectable,adapter_detectable_rank,60,2,0.5765441219494429,0.5692431585347781,0.03480715161228979,-398.95188881626575,-0.8100807397798703,0.8100807397798703
lora_rank,nondiverged,excess_val_loss,adapter_stable_rank,adapter_stable_rank,60,2,0.5701046996853869,0.562692711748928,0.03507080630407765,-398.04634680932253,-0.6554042789663798,0.6554042789663798
lora_rank,nondiverged,excess_val_loss,adapter_effective_rank,adapter_effective_rank,60,2,0.4041508803582772,0.3938776196747992,0.041288827776747916,-378.4595995037036,-0.58110586273965,0.58110586273965
lora_rank,nondiverged,excess_val_loss,intruder_count,intruder_count,60,2,0.14947863142595263,0.13481446989881385,0.049329534442394254,-357.1078761430067,0.34337264762346825,0.34337264762346825
lora_rank,nondiverged,excess_val_loss,intruder_energy,intruder_energy,60,2,0.07577947535815888,0.059844638726403,0.05142238392381526,-352.12180594745934,0.34074004127927215,0.34074004127927215
lora_rank,nondiverged,excess_val_loss,gradient_detectable,gradient_detectable_rank,60,2,8.431179582635284e-05,-0.017155613862866348,0.053486735644374055,-347.3985905031741,0.001666898196384623,0.001666898196384623
