experiment,seed,rep,m,n,rank,theta,noise_sigma,mp_edge,top_sv,second_sv,detectable_rank,stable_rank,effective_rank,left_overlap,right_overlap,mean_overlap
bbp,7,0,128,128,1,0.1,1.0,2.0,1.9382585383736193,1.8845688951512227,0,33.782582002720986,77.51260791549934,0.012681847112801077,0.0016366668118553622,0.00715925696232822
bbp,7,1,128,128,1,0.1,1.0,2.0,2.014339458002623,1.9353140779921436,1,31.4815298370593,76.53223648913594,0.02835846031836265,0.005226538066751896,0.016792499192557275
bbp,7,2,128,128,1,0.1,1.0,2.0,1.9265261218789795,1.8914828790993572,0,34.26438217743121,77.62886590966909,0.0005466534447317509,0.011046937010811692,0.005796795227771721
bbp,7,3,128,128,1,0.1,1.0,2.0,1.9318084385233298,1.8973373227014236,0,34.750564521294336,77.77805387619095,0.0006549007049886023,0.004193834419225659,0.0024243675621071306
bbp,7,4,128,128,1,0.1,1.0,2.0,1.972924731033254,1.9093111697346024,0,32.94403715067399,77.33773377908179,0.0010072487726751726,0.0035487282018295697,0.002277988487252371
bbp,7,5,128,128,1,0.1,1.0,2.0,1.9861144597790845,1.8854572561303102,0,31.864821200670136,78.19455989897374,0.004882477248779014,0.019381880893615665,0.01213217907119734
bbp,7,6,128,128,1,0.1,1.0,2.0,1.884411870458257,1.8589035006665606,0,36.03470387726077,78.16392438232387,0.03269709258510527,0.014484114543959101,0.023590603564532183
bbp,7,7,128,128,1,0.1,1.0,2.0,1.9696582450551363,1.9487757562622072,0,33.06606906874641,77.46444997389834,0.0006097965646905506,0.003772195002598009,0.00219099578364428
bbp,7,8,128,128,1,0.1,1.0,2.0,2.0127705494798422,1.970671059567549,1,32.05245066235123,76.64679850349856,0.002081351651295711,0.004990931593762455,0.0035361416225290826
bbp,7,9,128,128,1,0.1,1.0,2.0,1.9392693623917574,1.884963365811613,0,33.32889197989508,77.52607674173173,0.007953542649316322,0.0007088694480056453,0.004331206048660984
bbp,7,0,128,128,1,0.25,1.0,2.0,1.942882178631478,1.9361109899085065,0,33.79092429792158,77.70160500926018,0.001967347320912108,0.011876338199028336,0.006921842759970221
bbp,7,1,128,128,1,0.25,1.0,2.0,2.0257173998913607,1.9771372705126102,1,31.47445095027756,77.1475620171244,0.04289169663466101,0.009669015864963212,0.026280356249812113
bbp,7,2,128,128,1,0.25,1.0,2.0,1.9472183598960116,1.9230350479815908,0,33.68341927738063,76.8295241597864,0.005651256248298791,0.009026875003008137,0.007339065625653464
bbp,7,3,128,128,1,0.25,1.0,2.0,1.9576162446631642,1.9235208102630086,0,33.51632705924816,77.44768662652822,0.00605607342925768,0.0017494644776789735,0.003902768953468327
bbp,7,4,128,128,1,0.25,1.0,2.0,1.9202793883781062,1.8858747654447214,0,34.477367461858854,77.63425311189332,0.008567971420833664,0.013795475205724824,0.011181723313279244
bbp,7,5,128,128,1,0.25,1.0,2.0,1.9441428449340306,1.9052239690441006,0,33.37300096885883,78.19433066198214,0.0001973368449131541,0.006148732602516023,0.0031730347237145886
bbp,7,6,128,128,1,0.25,1.0,2.0,2.0288674207016393,1.8779755410977275,1,31.370131842252857,77.60220348864782,0.012482400957786832,0.0001224076683418698,0.006302404313064351
