layer,base_val_loss,oracle_val_loss,improvement_gap,best_rank,best_val_loss,gradient_detectable_rank,gradient_effective_rank,gradient_stable_rank,true_k_strong,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,near_best_rank_gap_0.5,recovery_rank_0.5,recovery_rank_0.6,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.85,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.03,penalized_rank_lambda_0.05,penalized_rank_lambda_0.08,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3,penalized_rank_lambda_0.5
0,0.0537224229687055,0.0025131304891135,0.051209292479591995,32,0.0033293111161044,1,1.072212643405423,1.008258976981338,1,1,2,2,4,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,1,1
1,0.1430506609180924,0.0025121141416497,0.1405385467764427,32,0.0144942884029765,4,2.735593303887712,1.5145712290285542,4,4,4,2,32,32,4,4,2,2.0,4.0,4.0,4.0,32.0,32.0,,32,32,32,32,4,4,4,4
2,0.7233864683625983,0.0024942574905359,0.7208922108720625,32,0.0076426189620059,4,4.808690297150342,2.0470310640045617,8,4,8,4,16,8,8,8,4,4.0,4.0,8.0,8.0,8.0,8.0,8.0,16,16,16,16,8,8,8,8
3,0.1936917666435935,0.0025028233129512,0.1911889433306423,32,0.0331761443908517,4,4.505963909715105,2.400444686481772,8,4,8,4,32,16,8,4,2,2.0,4.0,4.0,32.0,,,,32,32,32,16,8,8,8,4
4,0.1385441847686541,0.002493642205549,0.1360505425631051,32,0.0095450319598374,3,2.3290752282245166,1.5608020807419976,3,4,4,2,32,8,8,2,1,1.0,2.0,2.0,4.0,8.0,8.0,,32,32,8,8,8,8,8,8
5,0.2024263349443307,0.0025094129771668,0.1999169219671639,32,0.0054590318323561,3,3.169784392028228,2.6173531778378867,3,4,4,4,4,4,4,4,2,2.0,2.0,4.0,4.0,4.0,4.0,4.0,8,8,4,4,4,4,4,4
6,0.4393989141931271,0.0024943163095722,0.4369045978835549,32,0.029339793581108,5,4.80970939204119,2.0958570699561507,8,8,8,4,32,16,8,8,4,4.0,4.0,4.0,8.0,8.0,16.0,,32,16,16,16,8,8,8,8
7,0.0422016176302911,0.0024939773033927,0.0397076403268984,32,0.0043288906451535,1,1.0553650797524177,1.0053495092851636,1,1,2,2,16,2,1,1,1,1.0,1.0,1.0,1.0,1.0,2.0,32.0,32,16,2,2,2,2,2,2
8,0.087568348298495,0.0025103419945527,0.0850580063039423,32,0.0030088963397383,1,1.0449169536930751,1.004825296567195,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
9,0.0926510989894097,0.00249923472154,0.0901518642678697,32,0.0030057242119044,1,1.0281944766468474,1.0027161372296387,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,1,1,1,1
10,0.212724931785913,0.0024898997416621,0.2102350320442509,32,0.0284437819391813,6,5.292366092195407,2.712693386256007,7,8,8,4,32,32,8,8,4,4.0,8.0,8.0,32.0,32.0,,,32,32,32,32,8,8,8,8
11,0.277085724991699,0.0024945774900521,0.27459114750164687,32,0.0108206606166275,4,3.224959165882449,1.609236470249395,5,4,4,2,16,8,8,4,2,2.0,4.0,4.0,4.0,8.0,8.0,16.0,16,16,16,8,8,8,8,8
12,0.2242954741756887,0.0024994268167503,0.2217960473589384,32,0.0229245221166216,2,2.8559091173200044,1.423905393576213,6,2,4,2,32,16,16,8,2,4.0,4.0,8.0,16.0,16.0,32.0,,32,32,16,16,16,16,8,8
13,0.1547953693176068,0.0024823053181646,0.1523130639994422,32,0.0037403422058908,2,1.8002385092486746,1.3483446619891677,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2
14,0.0542885320952509,0.0025040793961887,0.0517844526990622,32,0.0040956866609227,1,1.1671637492349916,1.0233666884073591,1,1,2,2,2,2,2,1,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,8,2,2,2,2,2,2,2
15,0.1995448949205201,0.0025197304335302,0.1970251644869899,32,0.0250454066742301,3,3.5281117469563053,1.662575337703862,6,4,4,2,32,16,16,8,2,4.0,4.0,8.0,16.0,32.0,,,32,32,16,16,16,16,16,8
16,0.5737709686727787,0.0024993169092466,0.571271651763532,32,0.0079937356972859,5,4.753898011010724,2.0543595258028438,7,8,8,4,8,8,8,8,4,4.0,4.0,8.0,8.0,8.0,8.0,8.0,16,16,8,8,8,8,8,8
17,0.1321478014207016,0.0024891651854304,0.12965863623527119,32,0.0032288805397033,1,1.03085628347085,1.003311577854875,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,1,1,1,1,1
18,0.1898238303304794,0.0024917706485567,0.18733205968192268,32,0.003124496535386,2,1.965209489830497,1.601498235051193,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2
19,0.3292642847964171,0.0025084326568766,0.3267558521395405,32,0.0268376594987291,6,5.9905695148596925,2.8212285075139003,8,8,8,4,32,16,16,8,4,4.0,4.0,8.0,16.0,16.0,32.0,,32,32,32,16,16,16,16,8
20,0.3089165220294785,0.002480161218994,0.3064363608104845,32,0.0179131425298654,6,4.592110242388513,2.322511465983041,6,8,8,4,16,16,8,8,4,4.0,4.0,4.0,8.0,8.0,16.0,,32,16,16,16,16,16,16,8
21,0.0653780255099943,0.0025010406116871,0.0628769848983072,32,0.0034211551043677,1,1.04929866267344,1.0053296435106711,1,1,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,2,2
22,0.2071113880769032,0.0024925919184408,0.2046187961584624,32,0.0046628277352326,3,2.866088909087115,1.98180191210636,3,4,4,2,4,4,4,4,2,2.0,2.0,4.0,4.0,4.0,4.0,4.0,8,8,8,8,4,4,4,4
23,0.0781000722729938,0.0024892814560778,0.075610790816916,32,0.0064330712390209,2,2.022721985056222,1.5295081653430005,2,2,4,2,8,8,2,2,1,1.0,2.0,2.0,2.0,2.0,8.0,,8,8,8,8,8,8,4,4
24,0.1415297393441663,0.0024960558576683,0.139033683486498,32,0.0230301683021733,4,3.5678399066737048,1.9325820904571172,5,4,4,2,32,16,8,4,1,2.0,4.0,4.0,8.0,32.0,,,32,32,8,8,8,8,8,8
25,0.1451052748375114,0.0025100377657215,0.1425952370717899,32,0.0055826840104318,2,1.8959300904010683,1.3577963137517812,2,2,2,2,4,2,2,2,1,1.0,2.0,2.0,2.0,2.0,2.0,4.0,8,8,8,4,4,4,4,2
26,0.1439330328051443,0.0024885952570005,0.14144443754814381,32,0.027159353232681,5,4.465897944162107,2.34787505468462,6,8,8,4,32,32,16,8,2,4.0,8.0,8.0,32.0,,,,32,32,32,32,16,16,8,8
27,0.379007224867818,0.0024954368168871,0.37651178805093094,32,0.0215361255108981,6,5.67480722672118,2.5203453965371936,8,8,8,4,16,16,8,8,4,4.0,4.0,8.0,8.0,8.0,16.0,,16,16,16,16,16,16,8,8
28,0.1122801775076539,0.0024995436363339,0.10978063387132,32,0.0042161071788256,2,2.059867572784701,1.799984970051231,2,2,4,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8,8,2,2,2,2,2,2
29,0.2754709208024548,0.0024808839899821,0.2729900368124727,32,0.02562961718727,3,3.62306470269674,1.6071417162898705,7,4,4,2,32,16,8,8,4,4.0,4.0,8.0,8.0,16.0,32.0,,32,32,32,16,8,8,8,8
30,0.0475272865523394,0.0025137557562322,0.0450135307961072,32,0.0044791814734564,1,1.3001356186354365,1.0484374776014036,1,1,2,2,4,4,4,2,2,2.0,2.0,2.0,2.0,4.0,4.0,32.0,8,4,4,4,4,4,4,4
31,0.1976553025979982,0.0025063571532335,0.19514894544476472,32,0.0358074320515797,4,4.416855972714763,2.094231823970809,8,4,8,4,32,16,8,8,2,4.0,4.0,8.0,32.0,,,,32,32,32,16,8,8,8,8
32,0.2429354589585408,0.0024583606542501,0.2404770983042907,32,0.0305635142845389,2,3.33144823318371,1.5175117142254506,7,2,4,2,32,32,8,8,2,4.0,4.0,8.0,16.0,32.0,,,32,32,32,32,16,8,8,8
33,0.2425742778988681,0.0024882708845667,0.24008600701430138,32,0.018312514604219,4,3.844014245400821,1.9384167527259184,6,4,4,2,32,16,16,4,2,2.0,4.0,4.0,8.0,16.0,32.0,,32,32,32,16,16,16,16,8
34,0.3060793691027588,0.0024921299430912,0.30358723915966757,32,0.0183914277846355,7,5.6295401750945775,2.602498868858097,7,8,8,4,16,16,8,8,4,4.0,4.0,8.0,8.0,8.0,16.0,,32,16,16,16,16,16,8,8
35,0.1803289876883555,0.0024966117341062,0.1778323759542493,32,0.0047743846893537,3,2.924831716558463,2.212905219671886,3,4,4,4,8,4,4,4,2,2.0,2.0,2.0,4.0,4.0,4.0,4.0,8,8,8,8,8,4,4,4
36,0.0735188770935361,0.0025050867218681,0.07101379037166801,32,0.003866614670522,1,1.1197885521794466,1.015814628743147,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
37,0.5373036182050923,0.0024946130451314,0.5348090051599609,32,0.0192251383083906,6,5.732743663274565,2.554112218723911,8,8,8,4,32,16,16,8,4,4.0,4.0,8.0,8.0,8.0,16.0,32.0,32,16,16,16,16,16,16,8
38,0.2720352768725381,0.0024918223417706,0.2695434545307675,32,0.0106474351222926,4,3.059365569202632,1.8148470977512212,4,4,4,2,8,4,4,4,2,2.0,4.0,4.0,4.0,4.0,4.0,8.0,16,8,8,8,8,4,4,4
39,0.1194616755526052,0.0024902229518318,0.1169714526007734,32,0.0117212542829678,3,2.422076340848548,1.5587112127476186,3,4,4,2,32,32,8,4,1,2.0,2.0,4.0,8.0,16.0,32.0,,32,32,32,32,8,8,8,8
40,0.2065552568996205,0.0024913502330552,0.20406390666656532,32,0.0173196554148217,5,3.915276850072992,2.242711971357131,5,8,4,4,32,8,8,4,2,4.0,4.0,4.0,8.0,8.0,16.0,,32,32,16,8,8,8,8,8
41,0.2411543885933029,0.0024889902754486,0.2386653983178543,32,0.0307779398706767,7,5.38393204189994,2.4707149003509303,7,8,8,4,32,16,16,8,4,4.0,8.0,8.0,16.0,32.0,,,32,32,32,16,16,16,16,8
42,0.106296396180944,0.0025054450948868,0.1037909510860572,32,0.0086543537450436,3,2.827280602714193,2.160089795531139,3,4,4,4,32,16,4,4,2,2.0,2.0,2.0,4.0,8.0,16.0,,32,16,16,16,8,8,8,4
