target,predictor,n,r2_log2_target,spearman,rmse_log2
best_rank,gradient_detectable_rank,48,,,0.0
best_rank,predicted_rank_detectable,48,,,0.0
best_rank,gradient_effective_rank,48,,,0.0
best_rank,gradient_stable_rank,48,,,0.0
best_rank,true_k_strong,48,,,0.0
near_best_rank_gap_0.02,true_k_strong,48,0.6343819737022653,0.7474661566963339,1.0526732417210662
near_best_rank_gap_0.02,gradient_effective_rank,48,0.5753747847841131,0.6875969274823021,1.1344429842370256
near_best_rank_gap_0.02,gradient_detectable_rank,48,0.5398740540680966,0.6647017460743282,1.1809136573705425
near_best_rank_gap_0.02,predicted_rank_detectable,48,0.5249948877717376,0.6775207353366908,1.199855441721471
near_best_rank_gap_0.02,gradient_stable_rank,48,0.4135744631634678,0.5812464885256423,1.3331721132558816
near_best_rank_gap_0.05,true_k_strong,48,0.7160652743644873,0.789073946657066,0.84602134776426
near_best_rank_gap_0.05,gradient_effective_rank,48,0.6737057631844966,0.7477493565151242,0.9069362649266383
near_best_rank_gap_0.05,gradient_detectable_rank,48,0.6193748552375158,0.7283433017989059,0.9795369071260641
near_best_rank_gap_0.05,predicted_rank_detectable,48,0.6005629939730773,0.7292829244095974,1.0034511046182242
near_best_rank_gap_0.05,gradient_stable_rank,48,0.49883876855048404,0.6370232196696373,1.1239857372815376
near_best_rank_gap_0.1,true_k_strong,48,0.8300129161045764,0.862154812469623,0.5431783187682913
near_best_rank_gap_0.1,gradient_effective_rank,48,0.8023517285722767,0.8535832017857178,0.5857077558625512
near_best_rank_gap_0.1,gradient_detectable_rank,48,0.7072468990131184,0.7949659736863092,0.7128287651727442
near_best_rank_gap_0.1,predicted_rank_detectable,48,0.6901758190639363,0.7936795857280511,0.7333176192573352
near_best_rank_gap_0.1,gradient_stable_rank,48,0.5986019506250808,0.7184400236315512,0.8346840094279685
near_best_rank_gap_0.2,true_k_strong,48,0.893323484531108,0.9186782704206597,0.35876954614503037
near_best_rank_gap_0.2,gradient_effective_rank,48,0.8716406404533927,0.8956724243673225,0.39354548234627185
near_best_rank_gap_0.2,gradient_detectable_rank,48,0.7484644208051092,0.8157043367243736,0.550910275041783
near_best_rank_gap_0.2,predicted_rank_detectable,48,0.7315321541893123,0.8189604503763315,0.5691507331201108
near_best_rank_gap_0.2,gradient_stable_rank,48,0.6673533904718194,0.7495786518281758,0.633538061238899
near_best_rank_gap_0.5,gradient_effective_rank,48,0.702487805836922,0.8734524317487997,0.41643685160173777
near_best_rank_gap_0.5,true_k_strong,48,0.6380375878454063,0.8318124589542152,0.45933390761201864
near_best_rank_gap_0.5,predicted_rank_detectable,48,0.6145499712239105,0.7970662708209941,0.47400269419060426
near_best_rank_gap_0.5,gradient_detectable_rank,48,0.6105741455760616,0.8063181839892813,0.4764410352909294
near_best_rank_gap_0.5,gradient_stable_rank,48,0.5775486350308873,0.7765312091845589,0.4962324125563468
penalized_rank_lambda_0.03,true_k_strong,48,0.5799033362374023,0.7276521870197686,0.9965797689600923
penalized_rank_lambda_0.03,gradient_effective_rank,48,0.5561128505847897,0.6929895825998734,1.024409828162052
penalized_rank_lambda_0.03,gradient_detectable_rank,48,0.531602046966006,0.6888607272601043,1.0523130215810126
penalized_rank_lambda_0.03,predicted_rank_detectable,48,0.5200370702033008,0.6938878727941581,1.0652248716450796
penalized_rank_lambda_0.03,gradient_stable_rank,48,0.41943411281762455,0.589732803567202,1.1715564173403934
penalized_rank_lambda_0.05,true_k_strong,48,0.6344523482422895,0.7358006618871354,0.9479651772284177
penalized_rank_lambda_0.05,gradient_effective_rank,48,0.5843102967283533,0.6738491047088653,1.010892602542986
penalized_rank_lambda_0.05,gradient_detectable_rank,48,0.5505534834066047,0.6570654503736232,1.0511371714919497
penalized_rank_lambda_0.05,predicted_rank_detectable,48,0.5328991192361778,0.6631517212315144,1.0715827850479227
penalized_rank_lambda_0.05,gradient_stable_rank,48,0.44432967204795515,0.5617561958832219,1.1687698188902624
penalized_rank_lambda_0.08,true_k_strong,48,0.6800138273511807,0.7912661450635095,0.876764952509686
penalized_rank_lambda_0.08,gradient_effective_rank,48,0.6333274301186149,0.7310563831731652,0.9385486436786235
