target,predictor,n,r2_log2_target,spearman,rmse_log2
best_rank,gradient_effective_rank,48,0.14292274429846652,0.24743582965269678,0.13222624861869373
best_rank,gradient_detectable_rank,48,0.09994290430657016,0.22758995308253574,0.13550106904558423
best_rank,predicted_rank_detectable,48,0.09896091044037614,0.2766318548003036,0.1355749671046479
best_rank,true_k_strong,48,0.07812961084967207,0.2136198710755869,0.1371332044068702
best_rank,gradient_stable_rank,48,0.07791683011577899,0.24743582965269678,0.13714902963602574
best_rank,predicted_rank_effective,48,0.07555746832719157,0.2611385643587563,0.13732438120066284
best_rank,predicted_rank_stable,48,0.007092198581560294,0.0842151921066519,0.14231876063832777
near_best_rank_gap_0.02,gradient_effective_rank,48,0.5263891974020292,0.4738518688757281,1.0369598050657713
near_best_rank_gap_0.02,true_k_strong,48,0.38567881131984194,0.547301185595,1.180997205825439
near_best_rank_gap_0.02,predicted_rank_effective,48,0.3451235595633443,0.41226774150602874,1.21935680405371
near_best_rank_gap_0.02,gradient_detectable_rank,48,0.3414996998668208,0.4515713068761138,1.2227258990184575
near_best_rank_gap_0.02,predicted_rank_detectable,48,0.31426246926862667,0.3759948042343893,1.2477571933536955
near_best_rank_gap_0.02,gradient_stable_rank,48,0.2300166324879256,0.2685863485630001,1.3221836872722117
near_best_rank_gap_0.02,predicted_rank_stable,48,0.023003887083412944,0.13107156757862787,1.489352643364323
near_best_rank_gap_0.05,gradient_effective_rank,48,0.47170438739625487,0.4391454497174142,0.981228608516637
near_best_rank_gap_0.05,true_k_strong,48,0.35161972388914,0.49671290543036967,1.0870426838951757
near_best_rank_gap_0.05,predicted_rank_effective,48,0.32501899043448146,0.42822934493648107,1.109117293848064
near_best_rank_gap_0.05,gradient_detectable_rank,48,0.286408924193433,0.3810365390017072,1.14039788974003
near_best_rank_gap_0.05,predicted_rank_detectable,48,0.2559191834157636,0.3441447401233555,1.1645060627386354
near_best_rank_gap_0.05,gradient_stable_rank,48,0.2028030176404264,0.2726509636351783,1.2053537489570998
near_best_rank_gap_0.05,predicted_rank_stable,48,0.017861395570373917,0.08133696124354547,1.3378828631668602
near_best_rank_gap_0.1,gradient_effective_rank,48,0.6729479219131554,0.6959607600626375,0.6376079537002668
near_best_rank_gap_0.1,gradient_detectable_rank,48,0.4980167482066945,0.5906865324427572,0.7899323198461446
near_best_rank_gap_0.1,true_k_strong,48,0.49514899769338494,0.5789888475111968,0.7921854853157994
near_best_rank_gap_0.1,predicted_rank_detectable,48,0.4475120176692218,0.5450900307082733,0.8287178384793907
near_best_rank_gap_0.1,predicted_rank_effective,48,0.44495688224367724,0.5714278685422061,0.8306319468331769
near_best_rank_gap_0.1,gradient_stable_rank,48,0.43572167285705055,0.5510900882088519,0.8375137667135022
near_best_rank_gap_0.1,predicted_rank_stable,48,0.09124767225325903,0.30096463271442303,1.0628403594282771
near_best_rank_gap_0.2,gradient_effective_rank,48,0.5470946165903441,0.6275659393486818,0.5767169071056146
near_best_rank_gap_0.2,true_k_strong,48,0.4342101211020666,0.5263557145737604,0.6445944013995699
near_best_rank_gap_0.2,gradient_stable_rank,48,0.4324526065966404,0.5629777397536561,0.6455947777287175
near_best_rank_gap_0.2,gradient_detectable_rank,48,0.42518283269749135,0.5410015959429839,0.6497163667615121
near_best_rank_gap_0.2,predicted_rank_detectable,48,0.3958436417615042,0.5437609511830395,0.6660910790435459
near_best_rank_gap_0.2,predicted_rank_effective,48,0.33141458428598336,0.5254205730354522,0.7007085090570693
near_best_rank_gap_0.2,predicted_rank_stable,48,0.13317572892040974,0.37009680164738,0.7978559231302818
penalized_rank_lambda_0.05,gradient_effective_rank,48,0.4254659417335309,0.42422537115315906,0.9346235516005118
penalized_rank_lambda_0.05,true_k_strong,48,0.3149038211172628,0.5013822045834493,1.020597743781593
penalized_rank_lambda_0.05,predicted_rank_effective,48,0.27253540671116994,0.3659452196587093,1.0516827765313035
penalized_rank_lambda_0.05,gradient_detectable_rank,48,0.25355932975471274,0.38977635740480965,1.0653111642517212
penalized_rank_lambda_0.05,predicted_rank_detectable,48,0.224392381281161,0.3348109681830607,1.0859250825373363
penalized_rank_lambda_0.05,gradient_stable_rank,48,0.17792966739109695,0.267074927457065,1.1179781584701916
penalized_rank_lambda_0.05,predicted_rank_stable,48,0.016081453991816375,0.1052829526695559,1.2230899697381523
penalized_rank_lambda_0.1,gradient_effective_rank,48,0.5471912831854122,0.5543768446543356,0.829847329426033
penalized_rank_lambda_0.1,predicted_rank_effective,48,0.43023396775366696,0.54636352901602,0.9308701166335174
penalized_rank_lambda_0.1,gradient_detectable_rank,48,0.35232774347037843,0.5079263424574341,0.9924724463709137
penalized_rank_lambda_0.1,true_k_strong,48,0.34973188236355335,0.503620051416632,0.994459365135363
penalized_rank_lambda_0.1,predicted_rank_detectable,48,0.29866199426568973,0.4252961093508289,1.0327721031545456
penalized_rank_lambda_0.1,gradient_stable_rank,48,0.2938591936629197,0.4341862700895662,1.0363023093211312
penalized_rank_lambda_0.1,predicted_rank_stable,48,0.0547945205479452,0.22695798931965636,1.1989578808281798
penalized_rank_lambda_0.15,gradient_effective_rank,48,0.6326886778213615,0.5601459810027547,0.6969668906401313
penalized_rank_lambda_0.15,gradient_detectable_rank,48,0.6079663662816951,0.5347758847637434,0.7200400505895377
penalized_rank_lambda_0.15,predicted_rank_detectable,48,0.5864098121675152,0.5818288507759447,0.7395713914310476
penalized_rank_lambda_0.15,true_k_strong,48,0.5635726054537611,0.5501920741515318,0.7597155075572121
penalized_rank_lambda_0.15,gradient_stable_rank,48,0.417059633392839,0.44627312910480843,0.8780253494891219
penalized_rank_lambda_0.15,predicted_rank_effective,48,0.3580819997867378,0.44821562697051914,0.9213714836439825
penalized_rank_lambda_0.15,predicted_rank_stable,48,0.03161579695875738,0.10601731297190573,1.1316674848630655
penalized_rank_lambda_0.2,gradient_effective_rank,48,0.6391317771816188,0.6131752958507329,0.6798571788642305
penalized_rank_lambda_0.2,gradient_detectable_rank,48,0.5677184649208441,0.5434038629710409,0.7440921277813142
penalized_rank_lambda_0.2,predicted_rank_detectable,48,0.5336149354180293,0.550855884973714,0.7728864340396204
penalized_rank_lambda_0.2,true_k_strong,48,0.5150391821841381,0.5347532835597806,0.7881278838871945
penalized_rank_lambda_0.2,gradient_stable_rank,48,0.44411252562511105,0.5184916501860718,0.8437947356659846
penalized_rank_lambda_0.2,predicted_rank_effective,48,0.3555421226857036,0.4748485380847787,0.908532851738769
