layer,base_val_loss,oracle_val_loss,improvement_gap,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,best_rank,best_val_loss,true_k_strong,spike_peak,spike_decay,weak_factor,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.5,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
0,0.2178761535680936,0.014379762308523718,0.20349639125956986,3,1.5093436535949054,2.986129260273887,4,4,2,32,0.033900188805216384,6,3.247426654562518,0.2548287296845439,0.1085051749281564,16,8,4,4,2.0,4.0,4.0,32.0,,8,8,8,8,8
1,0.22585285884214318,0.0144436537319659,0.21140920511017727,3,2.121878665085026,3.0995930036765182,4,4,4,32,0.021027614454999698,3,3.2048970108814343,0.1691726533592654,0.15966843797297525,4,4,4,4,2.0,4.0,4.0,4.0,4.0,4,4,4,4,4
2,0.10483358817419475,0.014463703951997156,0.09036988422219759,3,1.4785627553990555,2.6704074750722975,4,4,2,32,0.02488165597198394,3,2.2162577079109216,0.14401155045816577,0.20645506158594934,16,8,4,4,2.0,4.0,4.0,,,8,8,8,8,4
3,0.2330555690248792,0.014437263053499195,0.21861830597138002,2,1.3315768793898322,2.442292693621077,2,4,2,32,0.03413406882308733,5,3.05842771835177,0.21173074244226509,0.08676727465582153,16,8,8,4,2.0,4.0,4.0,32.0,,16,8,8,8,8
4,0.1735836488755377,0.014378866933331498,0.15920478194220622,5,1.9749387298984238,3.8525739038309013,8,4,2,32,0.03967503046322731,5,2.9293062220162915,0.2383988052462508,0.057020576107674414,32,16,8,4,1.0,8.0,32.0,,,32,16,8,8,8
5,0.2219984853540313,0.01444873428694844,0.20754975106708287,4,2.5170817360390214,4.4462862098485925,4,8,4,32,0.031440343653523654,4,3.0915727886695046,0.09906663617655236,0.22535496983061437,16,8,8,4,2.0,4.0,8.0,16.0,,16,8,8,8,8
6,0.1348588717016073,0.014438460549023745,0.12042041115258355,4,2.419626871154572,4.385526528938033,4,8,4,32,0.03771252223806231,7,2.7041468452699324,0.27907934555595004,0.17973324129585627,16,8,4,2,2.0,4.0,32.0,,,16,16,8,8,8
7,0.045412430814128615,0.014433866259293018,0.030978564554835598,1,1.1526789013196652,2.3716603159603054,1,4,2,32,0.020048390435769926,1,1.921066450204287,0.20516995398345172,0.10882147760642112,32,16,8,8,4.0,8.0,32.0,,,32,8,8,8,8
8,0.19712939221096687,0.01438956918551787,0.182739823025449,4,2.200341281763981,3.96941931492525,4,4,4,32,0.03779942907747831,5,2.999266454425651,0.20119624146980541,0.20190558930027486,32,16,8,4,2.0,4.0,8.0,,,32,16,8,8,8
9,0.09387047765674827,0.014387871170303417,0.07948260648644485,3,1.6378198674623063,3.5591329684145583,4,4,2,32,0.039918075070735116,6,2.0998654312005134,0.24684770087610663,0.055785590211602655,32,32,16,8,8.0,,,,,32,32,16,16,16
