layer,base_val_loss,oracle_val_loss,improvement_gap,best_rank,best_val_loss,gradient_detectable_rank,gradient_effective_rank,gradient_stable_rank,true_k_strong,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,near_best_rank_gap_0.5,recovery_rank_0.5,recovery_rank_0.6,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.85,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.03,penalized_rank_lambda_0.05,penalized_rank_lambda_0.08,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3,penalized_rank_lambda_0.5
0,0.2178761535680936,0.0143797623085237,0.2034963912595699,32,0.0339001888052163,3,2.986129260273887,1.5093436535949054,6,4,4,2,16,8,4,4,1,2.0,2.0,4.0,4.0,8.0,32.0,,32,8,8,8,8,8,8,4
1,0.2258528588421431,0.0144436537319659,0.2114092051101772,32,0.0210276144549996,3,3.0995930036765182,2.121878665085026,3,4,4,4,4,4,4,4,2,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4
2,0.1048335881741947,0.0144637039519971,0.0903698842221976,32,0.0248816559719839,3,2.670407475072297,1.4785627553990557,3,4,4,2,16,8,4,4,2,2.0,2.0,4.0,4.0,8.0,,,32,8,8,8,8,8,4,4
3,0.2330555690248792,0.0144372630534991,0.2186183059713801,32,0.0341340688230873,2,2.442292693621077,1.3315768793898322,5,2,4,2,16,8,8,4,1,2.0,2.0,4.0,4.0,8.0,32.0,,32,16,16,8,8,8,8,4
4,0.1735836488755377,0.0143788669333314,0.1592047819422063,32,0.0396750304632273,5,3.852573903830901,1.974938729898424,5,8,4,2,32,16,8,4,1,1.0,2.0,8.0,32.0,,,,32,32,32,16,8,8,8,8
5,0.2219984853540313,0.0144487342869484,0.2075497510670829,32,0.0314403436535236,4,4.4462862098485925,2.5170817360390214,4,4,8,4,16,8,8,4,2,2.0,4.0,4.0,8.0,8.0,16.0,,32,16,8,8,8,8,8,8
6,0.1348588717016073,0.0144384605490237,0.12042041115258359,32,0.0377125222380623,4,4.385526528938033,2.419626871154572,7,4,8,4,16,8,4,2,1,2.0,2.0,4.0,32.0,,,,32,16,16,16,8,8,8,4
7,0.0454124308141286,0.014433866259293,0.0309785645548356,32,0.0200483904357699,1,2.3716603159603054,1.1526789013196652,1,1,4,2,32,16,8,8,1,4.0,8.0,8.0,32.0,,,,32,32,8,8,8,8,8,8
8,0.1971293922109668,0.0143895691855178,0.182739823025449,32,0.0377994290774783,4,3.96941931492525,2.200341281763981,5,4,4,4,32,16,8,4,2,2.0,2.0,4.0,8.0,32.0,,,32,32,16,16,8,8,8,4
9,0.0938704776567482,0.0143878711703034,0.07948260648644481,32,0.0399180750707351,3,3.5591329684145583,1.6378198674623063,6,4,4,2,32,32,16,8,1,8.0,16.0,,,,,,32,32,32,32,16,16,16,8
