experiment,subset,outcome,model,predictors,n,k,ols_r2,adj_r2,rmse,aic,spearman_first_predictor,abs_spearman_first_predictor
merge_conflict,all,forgetting_merge,signed_task_inner,signed_task_inner,280,2,0.9998124219143459,0.9998117471730307,0.0005316395065606739,-4218.144163176253,0.996563731680251,0.996563731680251
merge_conflict,all,forgetting_merge,interference_plus_conflict,"spectral_interference,conflict_score",280,3,0.8632996909930649,0.8623126851518597,0.01435195105878389,-2370.5668535316463,,
merge_conflict,all,forgetting_merge,conflict_score,conflict_score,280,2,0.7444933994887903,0.7435743109977428,0.01962127652885922,-2197.4388272966285,-0.9875819237960232,0.9875819237960232
merge_conflict,all,forgetting_merge,overlap,overlap,280,2,0.08506123766580254,0.08177009103870114,0.037129765831875175,-1840.2683376095347,-0.5086385212082887,0.5086385212082887
merge_conflict,all,forgetting_merge,spectral_interference,spectral_interference,280,2,0.08071061529175183,0.07740381894388038,0.03721793895345827,-1838.9400660416948,-0.5089350629472315,0.5089350629472315
merge_conflict,all,forgetting_merge,rank,log2_rank,280,2,2.369882068364859e-12,-0.0035971222997799313,0.038817377987616676,-1815.3768577675141,,
merge_conflict,nondiverged,forgetting_merge,signed_task_inner,signed_task_inner,280,2,0.9998124219143459,0.9998117471730307,0.0005316395065606739,-4218.144163176253,0.996563731680251,0.996563731680251
merge_conflict,nondiverged,forgetting_merge,interference_plus_conflict,"spectral_interference,conflict_score",280,3,0.8632996909930649,0.8623126851518597,0.01435195105878389,-2370.5668535316463,,
merge_conflict,nondiverged,forgetting_merge,conflict_score,conflict_score,280,2,0.7444933994887903,0.7435743109977428,0.01962127652885922,-2197.4388272966285,-0.9875819237960232,0.9875819237960232
merge_conflict,nondiverged,forgetting_merge,overlap,overlap,280,2,0.08506123766580254,0.08177009103870114,0.037129765831875175,-1840.2683376095347,-0.5086385212082887,0.5086385212082887
merge_conflict,nondiverged,forgetting_merge,spectral_interference,spectral_interference,280,2,0.08071061529175183,0.07740381894388038,0.03721793895345827,-1838.9400660416948,-0.5089350629472315,0.5089350629472315
merge_conflict,nondiverged,forgetting_merge,rank,log2_rank,280,2,2.369882068364859e-12,-0.0035971222997799313,0.038817377987616676,-1815.3768577675141,,
merge_conflict,nondiverged_drop_top5pct_outcome,forgetting_merge,signed_task_inner,signed_task_inner,266,2,0.9998160110622509,0.9998153141344565,0.0004514078809247387,-4094.0687675620047,0.9960418323740238,0.9960418323740238
merge_conflict,nondiverged_drop_top5pct_outcome,forgetting_merge,interference_plus_conflict,"spectral_interference,conflict_score",266,3,0.8715864065420215,0.8706098773142041,0.011925559966206901,-2350.2659222690268,,
merge_conflict,nondiverged_drop_top5pct_outcome,forgetting_merge,conflict_score,conflict_score,266,2,0.8419375371188491,0.8413388156685417,0.01323084718137556,-2297.0086690734943,-0.9905412376169097,0.9905412376169097
merge_conflict,nondiverged_drop_top5pct_outcome,forgetting_merge,spectral_interference,spectral_interference,266,2,0.3435187590117236,0.3410320876443438,0.02696400762250299,-1918.2502515892825,-0.6921153849219189,0.6921153849219189
merge_conflict,nondiverged_drop_top5pct_outcome,forgetting_merge,overlap,overlap,266,2,0.31455254179940617,0.3119561499122827,0.02755245908173809,-1906.7649755322848,-0.701210719764868,0.701210719764868
merge_conflict,nondiverged_drop_top5pct_outcome,forgetting_merge,rank,log2_rank,266,2,3.3941738308840286e-12,-0.003787878784471843,0.03327923089776056,-1806.3011831763938,,
merge_conflict,all,log10_merge_degradation,interference_plus_conflict,"spectral_interference,conflict_score",280,3,0.33793559558655906,0.3331553471792419,1.497333907854273,232.0642338664206,,
merge_conflict,all,log10_merge_degradation,signed_task_inner,signed_task_inner,280,2,0.28335370347137034,0.2807758390953681,1.5578332551504843,252.24571339998144,-0.9962652156767402,0.9962652156767402
merge_conflict,all,log10_merge_degradation,spectral_interference,spectral_interference,280,2,0.06678273964774306,0.06342584302777088,1.7777059312435306,326.18128903046875,0.5060996376521176,0.5060996376521176
merge_conflict,all,log10_merge_degradation,conflict_score,conflict_score,280,2,0.05602155396882602,0.05262594804785048,1.7879261613781832,329.3915723130183,0.9871222080658926,0.9871222080658926
merge_conflict,all,log10_merge_degradation,overlap,overlap,280,2,0.046467917356556865,0.04303794583625675,1.7969508357242052,332.21109907167823,0.5070094872770163,0.5070094872770163
merge_conflict,all,log10_merge_degradation,rank,log2_rank,280,2,9.992007221626409e-16,-0.003597122302157141,1.8402148884003982,345.534117106605,,
merge_conflict,nondiverged,log10_merge_degradation,interference_plus_conflict,"spectral_interference,conflict_score",280,3,0.33793559558655906,0.3331553471792419,1.497333907854273,232.0642338664206,,
merge_conflict,nondiverged,log10_merge_degradation,signed_task_inner,signed_task_inner,280,2,0.28335370347137034,0.2807758390953681,1.5578332551504843,252.24571339998144,-0.9962652156767402,0.9962652156767402
merge_conflict,nondiverged,log10_merge_degradation,spectral_interference,spectral_interference,280,2,0.06678273964774306,0.06342584302777088,1.7777059312435306,326.18128903046875,0.5060996376521176,0.5060996376521176
merge_conflict,nondiverged,log10_merge_degradation,conflict_score,conflict_score,280,2,0.05602155396882602,0.05262594804785048,1.7879261613781832,329.3915723130183,0.9871222080658926,0.9871222080658926
merge_conflict,nondiverged,log10_merge_degradation,overlap,overlap,280,2,0.046467917356556865,0.04303794583625675,1.7969508357242052,332.21109907167823,0.5070094872770163,0.5070094872770163
merge_conflict,nondiverged,log10_merge_degradation,rank,log2_rank,280,2,9.992007221626409e-16,-0.003597122302157141,1.8402148884003982,345.534117106605,,
merge_conflict,nondiverged_drop_top5pct_outcome,log10_merge_degradation,interference_plus_conflict,"spectral_interference,conflict_score",266,3,0.33478901840749786,0.3297303797642088,1.5359602756801536,234.3108708124536,,
merge_conflict,nondiverged_drop_top5pct_outcome,log10_merge_degradation,signed_task_inner,signed_task_inner,266,2,0.2983134382380308,0.29565553459499305,1.5775090460039856,246.51063049858718,-0.9957268050789876,0.9957268050789876
merge_conflict,nondiverged_drop_top5pct_outcome,log10_merge_degradation,spectral_interference,spectral_interference,266,2,0.09404300757362838,0.09061135229928596,1.7924789711602587,314.4749669056314,0.44047669528231936,0.44047669528231936
merge_conflict,nondiverged_drop_top5pct_outcome,log10_merge_degradation,overlap,overlap,266,2,0.06264579439240325,0.05909521028025322,1.8232748642718488,323.5374263864002,0.4406968809388693,0.4406968809388693
merge_conflict,nondiverged_drop_top5pct_outcome,log10_merge_degradation,conflict_score,conflict_score,266,2,0.053475487809434785,0.049890167687500875,1.8321718716874094,326.1271056422258,0.9850504118479059,0.9850504118479059
merge_conflict,nondiverged_drop_top5pct_outcome,log10_merge_degradation,rank,log2_rank,266,2,9.992007221626409e-16,-0.0037878787878777853,1.8832166216214652,340.7460429548134,,
merge_conflict,all,merge_degradation,signed_task_inner,signed_task_inner,280,2,0.9995380430277746,0.9995363813120471,0.0008355341389575884,-3964.9656350625737,-0.996231365924857,0.996231365924857
merge_conflict,all,merge_degradation,interference_plus_conflict,"spectral_interference,conflict_score",280,3,0.8672289252134312,0.8662702892943945,0.014164954104204047,-2377.9112546465353,,
merge_conflict,all,merge_degradation,conflict_score,conflict_score,280,2,0.7472974673136489,0.7463884653975109,0.01954196510985659,-2199.706997825177,0.987110876096267,0.987110876096267
merge_conflict,all,merge_degradation,overlap,overlap,280,2,0.0850073507586927,0.08171601029379594,0.037185381273260695,-1839.430159817231,0.5070036669073977,0.5070036669073977
merge_conflict,all,merge_degradation,spectral_interference,spectral_interference,280,2,0.08058527091295298,0.0772780236860211,0.03727512982303024,-1838.0802036744808,0.5060476354472452,0.5060476354472452
merge_conflict,all,merge_degradation,rank,log2_rank,280,2,2.3631097079146457e-12,-0.0035971222997865926,0.03887437647702762,-1814.5551705757223,,
merge_conflict,nondiverged,merge_degradation,signed_task_inner,signed_task_inner,280,2,0.9995380430277746,0.9995363813120471,0.0008355341389575884,-3964.9656350625737,-0.996231365924857,0.996231365924857
merge_conflict,nondiverged,merge_degradation,interference_plus_conflict,"spectral_interference,conflict_score",280,3,0.8672289252134312,0.8662702892943945,0.014164954104204047,-2377.9112546465353,,
merge_conflict,nondiverged,merge_degradation,conflict_score,conflict_score,280,2,0.7472974673136489,0.7463884653975109,0.01954196510985659,-2199.706997825177,0.987110876096267,0.987110876096267
merge_conflict,nondiverged,merge_degradation,overlap,overlap,280,2,0.0850073507586927,0.08171601029379594,0.037185381273260695,-1839.430159817231,0.5070036669073977,0.5070036669073977
merge_conflict,nondiverged,merge_degradation,spectral_interference,spectral_interference,280,2,0.08058527091295298,0.0772780236860211,0.03727512982303024,-1838.0802036744808,0.5060476354472452,0.5060476354472452
merge_conflict,nondiverged,merge_degradation,rank,log2_rank,280,2,2.3631097079146457e-12,-0.0035971222997865926,0.03887437647702762,-1814.5551705757223,,
merge_conflict,nondiverged_drop_top5pct_outcome,merge_degradation,signed_task_inner,signed_task_inner,266,2,0.9995366937080422,0.9995349387599666,0.0007959512790819943,-3792.33699332223,-0.9956873315363881,0.9956873315363881
merge_conflict,nondiverged_drop_top5pct_outcome,merge_degradation,interference_plus_conflict,"spectral_interference,conflict_score",266,3,0.8458588769614563,0.8446867011208591,0.014518162239218165,-2245.612776353969,,
merge_conflict,nondiverged_drop_top5pct_outcome,merge_degradation,conflict_score,conflict_score,266,2,0.708278031046323,0.7071730235881651,0.01997270805791225,-2077.9226996568823,0.9850372225057964,0.9850372225057964
merge_conflict,nondiverged_drop_top5pct_outcome,merge_degradation,overlap,overlap,266,2,0.03993847144994189,0.03630187475088864,0.03623280188935035,-1761.0645143550582,0.44069098022367814,0.44069098022367814
merge_conflict,nondiverged_drop_top5pct_outcome,merge_degradation,spectral_interference,spectral_interference,266,2,0.02890408280215595,0.02522568917640655,0.036440426387337785,-1758.0247007678795,0.4404306292549266,0.4404306292549266
merge_conflict,nondiverged_drop_top5pct_outcome,merge_degradation,rank,log2_rank,266,2,2.7491342535768126e-12,-0.003787878785119325,0.036978763568155895,-1750.2229118109235,,
