layer,base_val_loss,oracle_val_loss,improvement_gap,best_rank,best_val_loss,true_k_strong,gradient_matrix_mode,gradient_detectable_rank,predicted_rank_detectable,gradient_effective_rank,predicted_rank_effective,gradient_stable_rank,predicted_rank_stable,raw_gradient_detectable_rank,predicted_rank_raw_detectable,raw_gradient_effective_rank,predicted_rank_raw_effective,raw_gradient_stable_rank,predicted_rank_raw_stable,whitened_gradient_detectable_rank,predicted_rank_whitened_detectable,whitened_gradient_effective_rank,predicted_rank_whitened_effective,whitened_gradient_stable_rank,predicted_rank_whitened_stable,predicted_rank_from_gradient,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,near_best_rank_gap_0.5,recovery_rank_0.5,recovery_rank_0.6,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.85,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.03,penalized_rank_lambda_0.05,penalized_rank_lambda_0.08,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3,penalized_rank_lambda_0.5,run_dir,condition,seed
0,0.1282000304647284,0.0025086998271408,0.1256913306375875,32,0.0102481516507826,3,activation_whitened,3,4,3.017122367143527,4,2.367441974193886,4,3,4,2.668298735193369,4,1.7517725686396008,2,3,4,3.017122367143527,4,2.367441974193886,4,4,16,8,8,4,2,2.0,2.0,4.0,8.0,8.0,8.0,,16,16,8,8,8,8,8,8,runs/20260612_160944_stage4_hard_s101,hard_knee,101
1,0.4335649607520391,0.0025027406352685,0.4310622201167706,32,0.0214746603939358,8,activation_whitened,8,8,7.491199955754171,8,4.063435885812669,8,4,4,4.890197334106238,8,2.032963174234338,4,8,8,7.491199955754171,8,4.063435885812669,8,8,32,16,8,8,4,4.0,4.0,8.0,8.0,8.0,16.0,32.0,32,32,16,16,16,16,8,8,runs/20260612_160944_stage4_hard_s101,hard_knee,101
2,0.0999941105739229,0.0025026478628433,0.0974914627110796,32,0.0036551306638143,1,activation_whitened,1,1,1.100226072175455,2,1.0113055222356262,2,1,1,1.107919425290519,2,1.0138450213790988,2,1,1,1.100226072175455,2,1.0113055222356262,2,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,1,1,1,1,1,1,runs/20260612_160944_stage4_hard_s101,hard_knee,101
3,0.164957470015283,0.0024818113803772,0.1624756586349058,32,0.0056417458953086,3,activation_whitened,3,4,3.058228592822572,4,2.3166030769914374,4,3,4,2.715864110584152,4,1.7398990023659986,2,3,4,3.058228592822572,4,2.3166030769914374,4,4,4,4,4,4,2,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,runs/20260612_160944_stage4_hard_s101,hard_knee,101
4,0.2885064051432866,0.0024955831107182,0.2860108220325684,32,0.0039066774680663,3,activation_whitened,3,4,3.035767309767436,4,2.4544868629522525,4,3,4,2.4804522562858526,4,1.5636557513472211,2,3,4,3.035767309767436,4,2.4544868629522525,4,4,4,4,4,4,2,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,runs/20260612_160944_stage4_hard_s101,hard_knee,101
5,0.2575191565944975,0.0024926716191871,0.2550264849753104,32,0.0040449841704113,2,activation_whitened,2,2,2.0246705394125857,4,1.583888275163245,2,2,2,1.530783180144197,2,1.1639820483254084,2,2,2,2.0246705394125857,4,1.583888275163245,2,2,4,4,2,2,1,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4,4,4,4,4,4,4,4,runs/20260612_160944_stage4_hard_s101,hard_knee,101
6,0.2386103419991775,0.002500442332208,0.2361098996669695,32,0.0305350614550958,8,activation_whitened,6,8,5.569071796816798,8,2.6933191527601266,4,4,4,3.849514069676576,4,1.8347648243282897,2,6,8,5.569071796816798,8,2.6933191527601266,4,8,32,16,8,4,2,2.0,2.0,4.0,8.0,32.0,,,32,32,8,8,8,8,8,8,runs/20260612_160944_stage4_hard_s101,hard_knee,101
7,0.2542049296922864,0.0024854249316894,0.251719504760597,32,0.0104515874546583,5,activation_whitened,5,8,4.794393903173019,8,3.132526940193624,4,5,8,4.213715303410438,8,2.610871626280776,4,5,8,4.794393903173019,8,3.132526940193624,4,8,16,16,8,4,4,4.0,4.0,4.0,4.0,4.0,8.0,16.0,16,16,16,16,16,8,8,4,runs/20260612_160944_stage4_hard_s101,hard_knee,101
8,0.3628599514149718,0.0024956074499265,0.3603643439650453,32,0.0189121279856233,7,activation_whitened,7,8,6.390084470579992,8,3.891308248689872,4,5,8,4.785424682876978,8,2.448339775416887,4,7,8,6.390084470579992,8,3.891308248689872,4,8,16,16,8,8,4,4.0,4.0,4.0,8.0,8.0,8.0,32.0,32,16,16,16,16,8,8,8,runs/20260612_160944_stage4_hard_s101,hard_knee,101
9,0.0679116135795829,0.0024973081150762,0.0654143054645067,32,0.0036066251646536,1,activation_whitened,1,1,1.1031082577250435,2,1.0110965382177788,2,1,1,1.100967534441682,2,1.0124063045514804,2,1,1,1.1031082577250435,2,1.0110965382177788,2,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,1,1,runs/20260612_160944_stage4_hard_s101,hard_knee,101
