target,predictor,n,r2_log2_target,spearman,rmse_log2,run_dir,condition,seed
near_best_rank_gap_0.02,true_k_strong,48,0.8318007385897095,0.8955940729137881,0.7119928967930736,runs/20260612_160944_stage4_hard_s101,hard_knee,101
near_best_rank_gap_0.05,true_k_strong,48,0.8873438362401374,0.9271977336551418,0.5030271417329328,runs/20260612_160944_stage4_hard_s101,hard_knee,101
near_best_rank_gap_0.1,gradient_effective_rank,48,0.8827229471871716,0.905988319527484,0.4271193873405625,runs/20260612_160944_stage4_hard_s101,hard_knee,101
near_best_rank_gap_0.2,gradient_effective_rank,48,0.8618355413041073,0.8931205891395158,0.3578127998032046,runs/20260612_160944_stage4_hard_s101,hard_knee,101
near_best_rank_gap_0.5,predicted_rank_whitened_stable,48,0.7455156981834861,0.8679833936718836,0.3413622490501435,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.03,predicted_rank_whitened_effective,48,0.7361713482488882,0.8557827812806352,0.7410701644431169,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.05,true_k_strong,48,0.7945161103736458,0.904394865670853,0.6252207555387015,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.08,gradient_detectable_rank,48,0.7777256544679225,0.8586328086733853,0.6211251788109557,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.1,gradient_detectable_rank,48,0.844704276436267,0.9112254614164584,0.5258831666255372,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.15,gradient_effective_rank,48,0.8470286766406916,0.8999966171067459,0.4779065642804048,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.2,gradient_effective_rank,48,0.831335021915321,0.886581139725548,0.4887421068426593,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.3,gradient_stable_rank,48,0.8455940069021716,0.8885031159296275,0.4390209851613545,runs/20260612_160944_stage4_hard_s101,hard_knee,101
penalized_rank_lambda_0.5,predicted_rank_detectable,48,0.8233480718276006,0.8764998110249866,0.4491365283553738,runs/20260612_160944_stage4_hard_s101,hard_knee,101
recovery_rank_0.5,predicted_rank_raw_effective,48,0.897196261682243,0.946969635503102,0.2359774528539786,runs/20260612_160944_stage4_hard_s101,hard_knee,101
recovery_rank_0.6,gradient_stable_rank,48,0.8289994477106106,0.8971669035039129,0.3530066341038143,runs/20260612_160944_stage4_hard_s101,hard_knee,101
