condition,target,predictor,n_wins,mean_r2,mean_spearman
hard_knee,near_best_rank_gap_0.02,true_k_strong,3,0.6138294116052868,0.7747515815838949
hard_knee,near_best_rank_gap_0.02,gradient_detectable_rank,2,0.6654453969912547,0.7645916594752883
hard_knee,near_best_rank_gap_0.05,gradient_detectable_rank,2,0.7645421840258779,0.8121663521211353
hard_knee,near_best_rank_gap_0.05,predicted_rank_detectable,2,0.7044492335587782,0.8115313933809164
hard_knee,near_best_rank_gap_0.05,true_k_strong,1,0.8873438362401374,0.9271977336551418
hard_knee,near_best_rank_gap_0.1,gradient_effective_rank,3,0.7937847714844638,0.8537197805032045
hard_knee,near_best_rank_gap_0.1,predicted_rank_detectable,2,0.8122424774210945,0.8880710788819426
hard_knee,near_best_rank_gap_0.2,gradient_effective_rank,3,0.8397271961552754,0.8592452658387746
hard_knee,near_best_rank_gap_0.2,gradient_stable_rank,1,0.8245544268062722,0.8932566413469372
hard_knee,near_best_rank_gap_0.2,predicted_rank_whitened_stable,1,0.7772323759791122,0.9196030474217552
hard_knee,near_best_rank_gap_0.5,gradient_stable_rank,3,0.6665418602964785,0.8327543831460226
hard_knee,near_best_rank_gap_0.5,raw_gradient_effective_rank,1,0.7549374440167687,0.8842008346160595
hard_knee,near_best_rank_gap_0.5,predicted_rank_whitened_stable,1,0.7455156981834861,0.8679833936718836
hard_knee,penalized_rank_lambda_0.03,true_k_strong,2,0.6334079167180062,0.7441491821902981
hard_knee,penalized_rank_lambda_0.03,predicted_rank_whitened_effective,1,0.7361713482488882,0.8557827812806352
hard_knee,penalized_rank_lambda_0.03,gradient_detectable_rank,1,0.579224955535546,0.7510693784060796
hard_knee,penalized_rank_lambda_0.03,gradient_effective_rank,1,0.3810963455761126,0.6147599734095105
hard_knee,penalized_rank_lambda_0.05,true_k_strong,2,0.7472673849414174,0.8405359038371837
hard_knee,penalized_rank_lambda_0.05,gradient_detectable_rank,2,0.7136120024743331,0.8018490553825053
hard_knee,penalized_rank_lambda_0.05,gradient_effective_rank,1,0.58492288344495,0.7637069642223802
hard_knee,penalized_rank_lambda_0.08,gradient_detectable_rank,3,0.7185752343622088,0.8092656421558045
hard_knee,penalized_rank_lambda_0.08,true_k_strong,2,0.6478747375954015,0.7801556407672443
hard_knee,penalized_rank_lambda_0.1,gradient_detectable_rank,2,0.7883877547775013,0.847967518373635
hard_knee,penalized_rank_lambda_0.1,gradient_effective_rank,2,0.6309815790711925,0.7691722914227708
hard_knee,penalized_rank_lambda_0.1,predicted_rank_detectable,1,0.7382322526059941,0.8247814765662481
hard_knee,penalized_rank_lambda_0.15,gradient_effective_rank,3,0.737602383714209,0.8184514254364039
hard_knee,penalized_rank_lambda_0.15,gradient_detectable_rank,1,0.7608665505182237,0.7934111675121005
hard_knee,penalized_rank_lambda_0.15,predicted_rank_detectable,1,0.656089560010414,0.7896541229972044
hard_knee,penalized_rank_lambda_0.2,gradient_effective_rank,3,0.7672214174705375,0.8307071976174458
hard_knee,penalized_rank_lambda_0.2,predicted_rank_detectable,2,0.6599672012329356,0.7798406286988313
hard_knee,penalized_rank_lambda_0.3,gradient_effective_rank,2,0.7123363739807913,0.7926705194544728
hard_knee,penalized_rank_lambda_0.3,gradient_stable_rank,1,0.8455940069021716,0.8885031159296275
hard_knee,penalized_rank_lambda_0.3,predicted_rank_detectable,1,0.7068479766581233,0.8222082504975841
hard_knee,penalized_rank_lambda_0.3,raw_gradient_effective_rank,1,0.6196009414009424,0.8101764398076933
hard_knee,penalized_rank_lambda_0.5,predicted_rank_detectable,4,0.7686588710538715,0.8578733292609798
hard_knee,penalized_rank_lambda_0.5,gradient_detectable_rank,1,0.7838043982132432,0.7830094269882099
hard_knee,recovery_rank_0.5,predicted_rank_raw_effective,3,0.825619414760452,0.9139426182767386
hard_knee,recovery_rank_0.5,gradient_stable_rank,2,0.7232836177179905,0.8612743360321982
hard_knee,recovery_rank_0.6,raw_gradient_effective_rank,2,0.8179108749752133,0.8765545349911822
hard_knee,recovery_rank_0.6,gradient_stable_rank,2,0.8051677678271572,0.8908318074835542
hard_knee,recovery_rank_0.6,gradient_effective_rank,1,0.7268946288874552,0.8709160172050925
hard_knee,recovery_rank_0.7,gradient_effective_rank,2,0.7840828179134574,0.8636440172809621
hard_knee,recovery_rank_0.7,gradient_stable_rank,2,0.7203465826797393,0.8136778761217001
hard_knee,recovery_rank_0.7,gradient_detectable_rank,1,0.8366864451644868,0.9122715649467232
hard_knee,recovery_rank_0.8,true_k_strong,2,0.7582740188784859,0.8472337914650567
hard_knee,recovery_rank_0.8,gradient_effective_rank,2,0.6654901454668132,0.812669906653509
hard_knee,recovery_rank_0.8,gradient_detectable_rank,1,0.871230291655737,0.936885202006032
hard_knee,recovery_rank_0.85,true_k_strong,2,0.770451373103578,0.895398093403296
hard_knee,recovery_rank_0.85,gradient_effective_rank,2,0.7422446430043077,0.8607461850688669
hard_knee,recovery_rank_0.85,predicted_rank_detectable,1,0.7879336032935649,0.83997696272707
hard_knee,recovery_rank_0.9,gradient_effective_rank,2,0.8358314443224116,0.8959864830037205
hard_knee,recovery_rank_0.9,true_k_strong,2,0.6437839501172193,0.7598464014181852
hard_knee,recovery_rank_0.9,predicted_rank_detectable,1,0.4849034622703937,0.7536121599317684
hard_knee,recovery_rank_0.95,gradient_effective_rank,2,0.5489575921979,0.7506243571846691
hard_knee,recovery_rank_0.95,raw_gradient_stable_rank,1,0.6821458467902084,0.8229635269202162
hard_knee,recovery_rank_0.95,predicted_rank_whitened_effective,1,0.3627939962563797,0.5700264259843578
hard_knee,recovery_rank_0.95,predicted_rank_detectable,1,0.2190334476289059,0.4754642220136011
sample_limited,best_rank,predicted_rank_whitened_stable,1,0.0887747615553928,0.3050403996031853
sample_limited,near_best_rank_gap_0.02,gradient_effective_rank,3,0.6165495772658122,0.6859912292621194
sample_limited,near_best_rank_gap_0.02,predicted_rank_whitened_effective,2,0.5382749181581528,0.6372840534610908
sample_limited,near_best_rank_gap_0.05,gradient_effective_rank,4,0.6831995967584543,0.7596678277315478
sample_limited,near_best_rank_gap_0.05,predicted_rank_whitened_effective,1,0.6347752750208465,0.7368960033547336
sample_limited,near_best_rank_gap_0.1,gradient_effective_rank,3,0.7034801338134411,0.803880907050321
sample_limited,near_best_rank_gap_0.1,gradient_detectable_rank,1,0.757904570671797,0.8138631076578913
sample_limited,near_best_rank_gap_0.1,gradient_stable_rank,1,0.6716015701399443,0.7065190279008149
sample_limited,near_best_rank_gap_0.2,gradient_stable_rank,3,0.5996962868135886,0.7163569206888277
sample_limited,near_best_rank_gap_0.2,gradient_detectable_rank,1,0.8165316262216868,0.8722530392750777
sample_limited,near_best_rank_gap_0.2,raw_gradient_effective_rank,1,0.7508305731178546,0.8446378894576497
sample_limited,near_best_rank_gap_0.5,gradient_stable_rank,3,0.3857530128920093,0.6588707207231025
sample_limited,near_best_rank_gap_0.5,raw_gradient_stable_rank,1,0.4547023446303364,0.6734265550687368
sample_limited,near_best_rank_gap_0.5,predicted_rank_raw_stable,1,0.2480668411697205,0.489542057945573
sample_limited,penalized_rank_lambda_0.03,gradient_effective_rank,5,0.5186824259408167,0.6209236708044552
sample_limited,penalized_rank_lambda_0.05,gradient_effective_rank,4,0.5816709596836664,0.693226511904684
sample_limited,penalized_rank_lambda_0.05,predicted_rank_whitened_effective,1,0.5380753138075314,0.6160614571153002
sample_limited,penalized_rank_lambda_0.08,gradient_effective_rank,3,0.6833250612913989,0.7829769871466907
sample_limited,penalized_rank_lambda_0.08,predicted_rank_whitened_effective,2,0.5585600833528008,0.7228908485930284
sample_limited,penalized_rank_lambda_0.1,gradient_effective_rank,3,0.6640243638272605,0.7473971141281184
sample_limited,penalized_rank_lambda_0.1,predicted_rank_whitened_effective,1,0.5609313820963484,0.6839495141854924
sample_limited,penalized_rank_lambda_0.1,gradient_detectable_rank,1,0.5603789689826608,0.6861470460726561
sample_limited,penalized_rank_lambda_0.15,gradient_effective_rank,4,0.6348753184331145,0.7509075500553013
sample_limited,penalized_rank_lambda_0.15,gradient_detectable_rank,1,0.5071893712967639,0.5580072912359393
sample_limited,penalized_rank_lambda_0.2,gradient_effective_rank,3,0.5649982465563935,0.6890695254680307
sample_limited,penalized_rank_lambda_0.2,gradient_stable_rank,1,0.7275748065324675,0.7943290595906367
sample_limited,penalized_rank_lambda_0.2,gradient_detectable_rank,1,0.4642248682611524,0.4904004617352605
sample_limited,penalized_rank_lambda_0.3,gradient_effective_rank,4,0.605071774087836,0.7160147816411493
sample_limited,penalized_rank_lambda_0.3,gradient_detectable_rank,1,0.5805084342145563,0.6146756686363113
sample_limited,penalized_rank_lambda_0.5,raw_gradient_effective_rank,2,0.6492359024967356,0.7473098682613242
sample_limited,penalized_rank_lambda_0.5,gradient_stable_rank,2,0.5430990563401497,0.6936209595149686
sample_limited,penalized_rank_lambda_0.5,gradient_detectable_rank,1,0.4776670928010872,0.5489708241630387
sample_limited,recovery_rank_0.5,raw_gradient_effective_rank,2,0.6358127117101859,0.8289455155804523
sample_limited,recovery_rank_0.5,gradient_stable_rank,2,0.5023809270891925,0.7726519185718946
sample_limited,recovery_rank_0.5,gradient_effective_rank,1,0.7750179225323848,0.9035982939003582
sample_limited,recovery_rank_0.6,gradient_effective_rank,5,0.5817927750082124,0.7947439031856859
sample_limited,recovery_rank_0.7,gradient_effective_rank,5,0.6216992390723037,0.7837830819909156
sample_limited,recovery_rank_0.8,gradient_effective_rank,4,0.6127647746608984,0.7440242859717097
sample_limited,recovery_rank_0.8,predicted_rank_whitened_effective,1,0.5535990114303369,0.7530765418276169
sample_limited,recovery_rank_0.85,gradient_effective_rank,2,0.5945172858107179,0.6886854724594018
sample_limited,recovery_rank_0.85,true_k_strong,1,0.8489041611883252,0.9041937142324452
sample_limited,recovery_rank_0.85,predicted_rank_detectable,1,0.5504711388806167,0.7598873786346865
