task,rule,mean_loss_delta,median_loss_delta,budgets_better,n_budgets,mean_acc_delta,mean_loss_ratio
assoc,effective_rank,-0.06648641243130743,-0.0004556818603305,6,7,0.02101934523809523,0.7914829385203225
assoc,marginal_gain_soft,-0.0649911087128289,-0.0021452268313927,7,7,0.023995535714285716,0.7276867568386829
assoc,marginal_gain_edge,-0.05675393998466286,-0.0024501189764123,7,7,0.023995535714285716,0.7022014950956738
assoc,gradient_norm,-0.051258860374911695,-0.0024457681089795,7,7,0.023995535714285716,0.6830499385894896
assoc,soft_dimension,-0.0283149292892111,-0.0005006405748039,6,7,0.015764508928571428,3.167273168419795
assoc,uniform,3.140403190037302,0.0009490362620757,1,7,-0.26171875,69.46310612501252
modular,soft_dimension,-0.19958616744002525,-0.1548104410370189,6,6,0.04654947916666663,0.8735659587117501
modular,gradient_norm,-0.134894050243828,-0.16804514980564506,5,6,0.04074435763888887,0.9081168293213472
modular,marginal_gain_soft,-0.07555992660733557,-0.16288600885309268,4,6,0.024088541666666668,0.9453425809121047
modular,effective_rank,0.003166729454986019,-0.1268944519106298,4,6,0.001953125,0.954852834321548
modular,marginal_gain_edge,0.12774509413995677,0.17490342166274786,2,6,-0.03700086805555555,1.0572793393568587
modular,uniform,3.6672913125302227,0.4311068208577732,0,6,-0.16400824652777776,3.0593250720667573
