rule,budget,n_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,mean_acc_delta,sem_acc_delta,median_acc_delta,mean_loss_ratio,task,task_family
effective_rank,512,3,-0.4226714720328648,0.1324218068286368,-0.5005154013633728,0.0927734375,0.0140954655563873,0.0927734375,0.8566421593537402,modular,
effective_rank,1024,3,-0.1430548354983329,0.5660885107211122,-0.6476197317242622,0.0455729166666666,0.1585326563062186,0.2021484375,0.9041861805771342,modular,
effective_rank,1536,3,0.3891378100961449,0.4011944035844719,0.0273048132658006,-0.0973307291666666,0.109752669046823,-0.02734375,1.14391958176988,modular,
effective_rank,2048,3,0.5553727919856707,0.6138528154267358,-0.0035837143659591,-0.1549479166666666,0.1515081808625282,-0.041015625,1.315816466610793,modular,
effective_rank,3072,3,-0.2490498494977751,0.13126461271995,-0.2899046763777733,0.08203125,0.041158759424651,0.0986328125,0.7257801236831211,modular,
effective_rank,4096,3,-0.1107340683229267,0.0520965387825301,-0.1388319134712219,0.0436197916666666,0.0225127723140322,0.060546875,0.7827724939346196,modular,
gradient_norm,512,3,0.2238987833261488,0.294404710818441,-0.0620362162590026,-0.0813802083333333,0.108970742719438,0.0146484375,1.1483734707867794,modular,
gradient_norm,1024,3,-0.3779707898696263,0.2003029978572773,-0.4720179140567779,0.0992838541666666,0.0731756063110872,0.044921875,0.7678170946764252,modular,
gradient_norm,1536,3,-0.1477880539993444,0.1961210881282386,-0.1431839317083358,0.048828125,0.0605337477368749,0.0263671875,1.1017115824519907,modular,
gradient_norm,2048,3,-0.1883022456119457,0.0647444752172296,-0.2518256604671478,0.08203125,0.0413437089100482,0.07421875,0.8049408286627161,modular,
gradient_norm,3072,3,-0.1276440235475698,0.090856598084803,-0.0983438268303871,0.0328776041666666,0.0147493629677203,0.0361328125,0.9164505571134028,modular,
gradient_norm,4096,3,-0.1915579717606306,0.1020883813071194,-0.2294073291122914,0.0628255208333333,0.0336847221882201,0.0830078125,0.7094074422367687,modular,
marginal_gain_edge,512,3,0.3311815212170283,0.3416622231573849,0.1143287718296051,-0.1044921875,0.1118423454038012,-0.01171875,1.1996124701429085,modular,
marginal_gain_edge,1024,3,-0.0220740909377733,0.3832234765278118,-0.2194690108299255,0.015625,0.0978042498309428,0.041015625,0.9425291557553312,modular,
marginal_gain_edge,1536,3,0.1929353748758634,0.2636896858498517,0.0076175555586814,-0.0439453125,0.0631703350575454,0.0107421875,1.0982753974522457,modular,
marginal_gain_edge,2048,3,0.2026595522960026,0.2745415761434523,0.0001780316233634,-0.064453125,0.1118963364015893,-0.0078125,1.1151441652855985,modular,
marginal_gain_edge,3072,3,0.1568714684496323,0.3306936715425526,0.0036595854908228,-0.0553385416666666,0.1344282808562103,-0.0009765625,1.1186312950881208,modular,
marginal_gain_edge,4096,3,-0.0951032610610127,0.0940983899558243,-0.0098876431584358,0.0305989583333333,0.0254177372607942,0.0107421875,0.8694835524169481,modular,
marginal_gain_soft,512,3,0.3207252671321232,0.3140814793825524,0.1132978200912475,-0.1051432291666666,0.1074756218131601,-0.013671875,1.190155978297997,modular,
marginal_gain_soft,1024,3,-0.3662018875281016,0.1490371435250605,-0.2941986918449402,0.0891927083333333,0.0661864789100133,0.04296875,0.7810307631932929,modular,
marginal_gain_soft,1536,3,0.1753793532649677,0.1695947846339575,0.0928827747702599,-0.0504557291666666,0.0468150567970871,-0.0234375,1.170976285208294,modular,
marginal_gain_soft,2048,3,-0.2574902748068173,0.1475826200404063,-0.2134083434939384,0.1061197916666666,0.0564954512273851,0.16015625,0.801242947105569,modular,
marginal_gain_soft,3072,3,-0.1453201519325374,0.1035671355845963,-0.2279425859451294,0.0472005208333333,0.0324885447602051,0.0751953125,1.0467969789835123,modular,
marginal_gain_soft,4096,3,-0.180451865773648,0.1150962697532458,-0.1297602243721485,0.0576171875,0.0367261946686181,0.0439453125,0.681852532683962,modular,
soft_dimension,512,3,-0.3987675805886585,0.2058498066413849,-0.4928468465805049,0.0804036458333333,0.0564954512273851,0.09375,0.8801477039299392,modular,
soft_dimension,1024,3,-0.3205714002251625,0.0603929042646032,-0.3354816436767578,0.0569661458333333,0.0505375680375388,0.0625,0.8322585239890831,modular,
soft_dimension,1536,3,-0.1349174094696837,0.0963967659072295,-0.0674371309578419,0.0224609375,0.0142301386682255,0.0341796875,0.8638854380448954,modular,
soft_dimension,2048,3,-0.0881871754924456,0.0716496707653397,-0.071938619017601,0.0299479166666666,0.0218098958333333,0.0341796875,0.9725208286906922,modular,
soft_dimension,3072,3,-0.1747034726043541,0.1300112445517506,-0.1403901204466819,0.0621744791666666,0.0391938438546744,0.060546875,0.9310047527214346,modular,
soft_dimension,4096,3,-0.0803699662598471,0.0272682710492922,-0.0977142229676246,0.02734375,0.0127078263645463,0.0390625,0.7615785048944566,modular,
uniform,512,3,10.11299860974153,1.6378785299539005,8.77926677465439,-0.1884765625,0.1387452124150558,-0.0576171875,5.369027722515262,modular,
uniform,1024,3,10.55972051123778,1.5211059812444652,9.233206927776337,-0.3115234375,0.1451841163235488,-0.3125,6.60224718343391,modular,
uniform,1536,3,0.35732455799977,0.0609167804106419,0.3945202082395553,-0.0885416666666666,0.0148138805377379,-0.07421875,1.4059208910929633,modular,
uniform,2048,3,0.4867986353735129,0.1296125481688181,0.5016072243452072,-0.1865234375,0.0484982345626788,-0.15234375,1.6108370855101353,modular,
uniform,3072,3,0.1114905544867118,0.045595187251955,0.1498960852622988,-0.0751953125,0.0346415961161991,-0.099609375,1.1907236161863606,modular,
uniform,4096,3,0.3754150063420335,0.1207495079826461,0.4422824382781982,-0.1337890625,0.0450490726354328,-0.1728515625,2.1771939336619126,modular,
effective_rank,512,3,-0.4099047742784023,0.2554931298581414,-0.1701498925685883,0.1471354166666666,0.1466474063827038,0.0009765625,0.5204714753136005,assoc,assoc
effective_rank,1024,3,-0.0478818195406347,0.0425727076204127,-0.0064288406865671,0.0,0.0,0.0,0.497371606729628,assoc,assoc
effective_rank,1536,3,-0.0072725851787254,0.0071762288330175,-0.0015411942731589,0.0,0.0,0.0,0.7670767170818852,assoc,assoc
effective_rank,2048,3,0.000611974246567,0.003013504918065,-0.0010383999324404,0.0,0.0,0.0,1.2640106746876307,assoc,assoc
effective_rank,3072,3,-0.0004293104187429,0.0003877810380642,-0.0007394111016764,0.0,0.0,0.0,0.8135780125511923,assoc,assoc
effective_rank,4096,3,-0.0004556818603305,6.923683219392961e-05,-0.000408757769037,0.0,0.0,0.0,0.7403455675288613,assoc,assoc
effective_rank,6144,3,-7.268998888320003e-05,4.104441858117512e-05,-4.184474528300011e-05,0.0,0.0,0.0,0.9375265157494592,assoc,assoc
gradient_norm,512,3,-0.3025206066668033,0.3196194617453945,-0.0459821671247481,0.16796875,0.1674807060099145,0.0009765625,0.8002773414553142,assoc,assoc
gradient_norm,1024,3,-0.0430739211927478,0.0429500067086291,-0.0042035148944706,0.0,0.0,0.0,0.71618840617834,assoc,assoc
gradient_norm,1536,3,-0.0095209200614287,0.0068004980606256,-0.0041323218028993,0.0,0.0,0.0,0.4820270086218918,assoc,assoc
gradient_norm,2048,3,-0.0024457681089795,0.0005600157912492,-0.002037488098722,0.0,0.0,0.0,0.4882950470913196,assoc,assoc
gradient_norm,3072,3,-0.0004910086621142,0.0001706258585784,-0.000494681778946,0.0,0.0,0.0,0.7702890174763098,assoc,assoc
gradient_norm,4096,3,-0.0005875574133824,5.570082956318728e-05,-0.0005617474816972,0.0,0.0,0.0,0.6635235260808378,assoc,assoc
gradient_norm,6144,3,-0.000172240518926,4.79151105728556e-05,-0.000181117808097,0.0,0.0,0.0,0.8607492232224145,assoc,assoc
marginal_gain_edge,512,3,-0.3493645178774993,0.3036643456690329,-0.1270075999200343,0.16796875,0.1674807060099145,0.0009765625,0.6915907358516397,assoc,assoc
