task,label,rule,whitening,mean_loss_delta,median_loss_delta,mean_acc_delta,wins,n
assoc,none_soft_dimension,soft_dimension,none,-0.08011707117215594,-0.0009938930161297,0.004324776785714286,7,7
assoc,none_effective_rank,effective_rank,none,-0.0720787221715519,-0.0009342258272226,0.004324776785714286,6,7
assoc,none_marginal_gain_soft,marginal_gain_soft,none,-0.05884934050845912,-0.0007405977376038,0.0033482142857142855,6,7
assoc,full_marginal_gain_soft,marginal_gain_soft,full,-0.05758700652014729,-0.0008304852526634,0.004324776785714286,4,7
assoc,diag_effective_rank,effective_rank,diag,-0.05728284856117426,-0.0010583727853372,0.004324776785714286,7,7
assoc,diag_marginal_gain_soft,marginal_gain_soft,diag,-0.05643174257004697,-0.0007657875976292,0.004324776785714286,6,7
assoc,full_effective_rank,effective_rank,full,-0.04343314704913476,-0.0010576337808743,0.004324776785714286,6,7
assoc,full_soft_dimension,soft_dimension,full,-0.039286083003389594,-0.0007118380744941,0.0029296875,6,7
assoc,gradient_norm,gradient_norm,baseline,-0.0392167305960486,-0.0004075830802321,0.0006975446428571429,6,7
assoc,diag_soft_dimension,soft_dimension,diag,-0.008181747990810012,-0.0003577897005015,-0.008370535714285714,5,7
modular,full_soft_dimension,soft_dimension,full,-0.4315471121420463,-0.2333624046295881,0.08317057291666667,4,6
modular,diag_soft_dimension,soft_dimension,diag,-0.3925432674586773,-0.3500103317201137,0.09163411458333333,5,6
modular,none_marginal_gain_soft,marginal_gain_soft,none,-0.38190691669782,-0.1338674612343311,0.09716796875,4,6
modular,none_soft_dimension,soft_dimension,none,-0.362682335699598,-0.27226632833480835,0.09130859375,5,6
modular,full_effective_rank,effective_rank,full,-0.3318661153316497,-0.19895821064710614,0.08756510416666667,6,6
modular,gradient_norm,gradient_norm,baseline,-0.2920125499367714,-0.1316347531974315,0.052734375,4,6
modular,diag_marginal_gain_soft,marginal_gain_soft,diag,-0.2710500607887904,-8.880347013474899e-05,0.07405598958333333,3,6
modular,diag_effective_rank,effective_rank,diag,-0.2110164357970158,-0.17263825424015516,0.07259114583333333,6,6
modular,full_marginal_gain_soft,marginal_gain_soft,full,-0.07544380115966001,0.0119979362934828,0.013020833333333334,3,6
modular,none_effective_rank,effective_rank,none,0.061356204872330074,-0.3030892815440893,-0.015299479166666666,4,6
