label,rule,whitening,mean_loss_delta,median_loss_delta,mean_acc_delta,wins,n
full_soft_dimension,soft_dimension,full,-0.29946358156666975,-0.00086450848903035,0.0396728515625,5,8
none_soft_dimension,soft_dimension,none,-0.2719834491144866,-0.18708263523876667,0.040771484375,7,8
none_marginal_gain_soft,marginal_gain_soft,none,-0.26146583854279015,-0.04393730597803365,0.0408935546875,5,8
full_effective_rank,effective_rank,full,-0.25196492714530905,-0.07289829105138776,0.05029296875,7,8
diag_soft_dimension,soft_dimension,diag,-0.2394427200015343,-0.10890126228332514,0.03076171875,6,8
gradient_norm,gradient_norm,baseline,-0.22012968825947613,-0.0013637270458275,0.022216796875,5,8
diag_marginal_gain_soft,marginal_gain_soft,diag,-0.19605340467387575,-0.00837192873586895,0.03076171875,5,8
diag_effective_rank,effective_rank,diag,-0.14657046749925934,-0.1139173693954944,0.0343017578125,8,8
full_marginal_gain_soft,marginal_gain_soft,full,-0.06952977659238967,-0.012141197337768899,-0.0029296875,5,8
none_effective_rank,effective_rank,none,0.058917539685353446,-0.0981769425416132,-0.036865234375,5,8
