label,rule,whitening,mean_loss_delta,median_loss_delta,mean_acc_delta,wins,n
full_soft_dimension,soft_dimension,full,-0.22032963491353882,-0.0010171789035666,0.039963942307692304,10,13
none_soft_dimension,soft_dimension,none,-0.21053180864635995,-0.028387252241373,0.04447115384615385,12,13
none_marginal_gain_soft,marginal_gain_soft,none,-0.20795283721124108,-0.0023610499920323,0.04664963942307692,10,13
diag_soft_dimension,soft_dimension,diag,-0.1855793723605949,-0.0019007280643563,0.03778545673076923,10,13
full_effective_rank,effective_rank,full,-0.1765560554872186,-0.0020614117383956,0.04274338942307692,12,13
gradient_norm,gradient_norm,baseline,-0.15589172413792068,-0.0011098230315838,0.024714543269230768,10,13
diag_marginal_gain_soft,marginal_gain_soft,diag,-0.15548635097869778,-0.0007657875976292,0.036508413461538464,9,13
diag_effective_rank,effective_rank,diag,-0.12823681190079345,-0.0759020820260047,0.03583233173076923,13,13
full_marginal_gain_soft,marginal_gain_soft,full,-0.06582860404607624,-0.0008304852526634,0.008338341346153846,7,13
none_effective_rank,effective_rank,none,-0.010493371228221755,-0.0016878309834282,-0.004732572115384615,10,13
