suite_id,suite_role,candidate_strategy,reference_strategy,n_independent_runs,n_nonzero_deltas,mean_loss_delta,median_loss_delta,sd_loss_delta,sem_loss_delta,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_two_sided,wins,ties,losses,planned_no_tie_min_two_sided_p,attainable_min_two_sided_p,exact_test_resolution_sufficient,distinct_assignment_runs,identical_assignment_runs,confidence,bootstrap_resamples,bootstrap_seed,bootstrap_seed_scheme,holm_p_within_suite,source_release_id,source_archive_sha256,analysis_plan_sha256,analysis_plan_version,protocol_version,source_git_commit
attnproj,boundary,eva_activation,uniform_r4,3,3,0.0061686883370081,0.0061384141445159,9.958119600084836e-05,5.7493230317314686e-05,0.0059213149326412,0.006416061741375,0.006087757647037,0.0062798932194714,0.25,0,0,3,0.25,0.25,False,3,0,0.95,10000,1852358460814396684,sha256(plan_sha256|label)_first8_mod_2^63_v1,1.0,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
attnproj,boundary,fim_gradient_variance,uniform_r4,3,3,0.0338936348756152,0.0339230597019195,0.0028357384189615,0.0016372143395388,0.0268492701284136,0.0409379996228169,0.031043298542499,0.0367145463824272,0.25,0,0,3,0.25,0.25,False,3,0,0.95,10000,3831945004498935828,sha256(plan_sha256|label)_first8_mod_2^63_v1,1.0,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
attnproj,boundary,gora_sensitivity,uniform_r4,3,3,0.0211211914817492,0.0210628882050518,0.0006819459140815,0.0003937216570677,0.0194271439192052,0.0228152390442931,0.0204702690243721,0.0218304172158236,0.25,0,0,3,0.25,0.25,False,3,0,0.95,10000,6544574448306016642,sha256(plan_sha256|label)_first8_mod_2^63_v1,1.0,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
attnproj,boundary,gradient_norm,uniform_r4,3,3,0.0249441564083099,0.0244601443409919,0.0014455852789299,0.0008346090499267,0.021353123501369,0.0285351893152508,0.0238026827573776,0.0265696421265602,0.25,0,0,3,0.25,0.25,False,3,0,0.95,10000,2104941973153410715,sha256(plan_sha256|label)_first8_mod_2^63_v1,1.0,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
attnproj,boundary,spectral_effective,uniform_r4,3,3,0.0010871663689611,0.0010582655668258,0.000229687075899,0.0001326098950997,0.0005165920418186,0.0016577406961037,0.0008732974529266,0.001329936087131,0.25,0,0,3,0.25,0.25,False,3,0,0.95,10000,746021064136305799,sha256(plan_sha256|label)_first8_mod_2^63_v1,1.0,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
cattn_cfc,primary,eva_activation,uniform_r4,8,8,-0.0046102106571199,-0.0045219734311106,0.0004640923458606,0.0001640814224274,-0.0049982015678277,-0.0042222197464122,-0.0049114786088468,-0.0043154774233701,0.0078125,8,0,0,0.0078125,0.0078125,True,8,0,0.95,10000,4106477321710111036,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
cattn_cfc,primary,fim_gradient_variance,uniform_r4,8,8,0.0413261186331508,0.0410804301500318,0.0046463432481333,0.0016427304092377,0.0374416784686384,0.0452105587976632,0.038527966663241,0.0444612009450792,0.0078125,0,0,8,0.0078125,0.0078125,True,8,0,0.95,10000,8160882562261091238,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
cattn_cfc,primary,gora_sensitivity,uniform_r4,8,8,0.0026825712993739,0.0024785846471784,0.0007522545818383,0.0002659621579982,0.0020536707305653,0.0033114718681826,0.0021926444023847,0.0031771240755915,0.0078125,0,0,8,0.0078125,0.0078125,True,8,0,0.95,10000,2347351627168734987,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
cattn_cfc,primary,gradient_norm,uniform_r4,8,8,0.0274674175307152,0.0278248786926267,0.0017768643443323,0.0006282164135629,0.0259819217639556,0.0289529132974749,0.0261997714405878,0.0284750725375486,0.0078125,0,0,8,0.0078125,0.0078125,True,8,0,0.95,10000,7849222070117023680,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
cattn_cfc,primary,spectral_effective,uniform_r4,8,8,-0.0070257661864162,-0.0065667368471622,0.0018486940617279,0.0006536120536935,-0.0085713130997133,-0.0054802192731191,-0.0083426544442773,-0.0060258745914326,0.0078125,8,0,0,0.0078125,0.0078125,True,8,0,0.95,10000,1192965711861412371,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625,real_lora_publication_20260623T074520Z,4368ca32afd32fde04c68e1b889bcba2add57a801d8360db4e99557953c991de,e407ba9f34946cfaa6a1246ebd55247b4fdc208d22de5bc1bd279d0c63a7da7b,real_lora_publication_plan_v1,real_lora_publication_protocol_v3,9d8547ca172ffcc8e059351b8d91a4fc92d36b7e
