layer,target_estimand,target_estimand_version,target_reference,target_denominator,target_valid,target_status,n_rank_points,n_finite_rank_points,rank_grid,base_val_loss,best_rank,best_val_loss,best_observed_val_loss,observed_best_gap,improvement_gap,improvement_gap_reference,oracle_val_loss,oracle_improvement_gap,near_best_rank_gap_0.02,near_best_loss_threshold_gap_0.02,near_best_rank_gap_0.05,near_best_loss_threshold_gap_0.05,near_best_rank_gap_0.1,near_best_loss_threshold_gap_0.1,near_best_rank_gap_0.2,near_best_loss_threshold_gap_0.2,recovery_rank_0.5,recovery_loss_threshold_0.5,recovery_rank_0.7,recovery_loss_threshold_0.7,recovery_rank_0.8,recovery_loss_threshold_0.8,recovery_rank_0.9,recovery_loss_threshold_0.9,recovery_rank_0.95,recovery_loss_threshold_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3,true_k_strong,gradient_matrix_mode,gradient_detectable_rank,predicted_rank_detectable,gradient_effective_rank,predicted_rank_effective,gradient_stable_rank,predicted_rank_stable,raw_gradient_detectable_rank,predicted_rank_raw_detectable,raw_gradient_effective_rank,predicted_rank_raw_effective,raw_gradient_stable_rank,predicted_rank_raw_stable,whitened_gradient_detectable_rank,predicted_rank_whitened_detectable,whitened_gradient_effective_rank,predicted_rank_whitened_effective,whitened_gradient_stable_rank,predicted_rank_whitened_stable,predicted_rank_from_gradient,source_run_id,source_run_path,condition,seed
0,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1282000304647284,32,0.0102481516507826,0.0102481516507826,0.1179518788139457,0.1179518788139457,best_observed_validation_loss_on_tested_rank_grid,0.0025086998271408,0.1256913306375875,16,0.0126071892270615,8,0.0161457455914798,8,0.0220433395321771,4,0.0338385274135717,2,0.0692240910577555,4,0.0456337152949663,4,0.0338385274135717,8,0.0220433395321771,8,0.0161457455914798,16,8,8,8,8,3,activation_whitened,3,4,3.017122367143526,4,2.367441974193884,4,3,4,2.6682987351933702,4,1.7517725686396015,2,3,4,3.017122367143526,4,2.367441974193884,4,4,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
1,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.4335649607520391,32,0.0214746603939358,0.0214746603939358,0.4120903003581033,0.4120903003581033,best_observed_validation_loss_on_tested_rank_grid,0.0025027406352685,0.4310622201167706,32,0.0297164664010978,16,0.0420791754118409,8,0.0626836904297461,8,0.1038927204655564,4,0.2275198105729874,8,0.1451017505013668,8,0.1038927204655564,8,0.0626836904297461,16,0.0420791754118409,32,16,16,16,8,8,activation_whitened,8,8,7.491199955754171,8,4.063435885812669,8,4,4,4.890197334106237,8,2.0329631742343364,4,8,8,7.491199955754171,8,4.063435885812669,8,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
2,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.0999941105739229,32,0.0036551306638143,0.0036551306638143,0.0963389799101086,0.0963389799101086,best_observed_validation_loss_on_tested_rank_grid,0.0025026478628433,0.0974914627110796,1,0.0055819102620164,1,0.0084720796593197,1,0.0132890286548251,1,0.022922926645836,1,0.0518246206188686,1,0.0325568246368468,1,0.022922926645836,1,0.0132890286548251,1,0.0084720796593197,2,1,1,1,1,1,activation_whitened,1,1,1.100226072175455,2,1.0113055222356262,2,1,1,1.1079194252905185,2,1.0138450213790988,2,1,1,1.100226072175455,2,1.0113055222356262,2,1,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
3,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.164957470015283,32,0.0056417458953086,0.0056417458953086,0.1593157241199743,0.1593157241199743,best_observed_validation_loss_on_tested_rank_grid,0.0024818113803772,0.1624756586349058,4,0.008828060377708,4,0.0136075321013073,4,0.021573318307306,4,0.0375048907193034,2,0.0852996079552958,2,0.0534364631313009,4,0.0375048907193034,4,0.021573318307306,4,0.0136075321013073,4,4,4,4,4,3,activation_whitened,3,4,3.058228592822572,4,2.3166030769914365,4,3,4,2.7158641105841514,4,1.739899002365998,2,3,4,3.058228592822572,4,2.3166030769914365,4,4,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
4,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.2885064051432864,32,0.0039066774680663,0.0039066774680663,0.2845997276752201,0.2845997276752201,best_observed_validation_loss_on_tested_rank_grid,0.0024955831107182,0.2860108220325682,4,0.0095986720215707,4,0.0181366638518273,4,0.0323666502355883,4,0.0608266230031103,2,0.1462065413056763,2,0.0892865957706323,4,0.0608266230031102,4,0.0323666502355882,4,0.0181366638518272,4,4,4,4,4,3,activation_whitened,3,4,3.0357673097674347,4,2.454486862952255,4,3,4,2.480452256285854,4,1.5636557513472225,2,3,4,3.0357673097674347,4,2.454486862952255,4,4,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
5,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.2575191565944974,32,0.0040449841704113,0.0040449841704113,0.2534741724240861,0.2534741724240861,best_observed_validation_loss_on_tested_rank_grid,0.0024926716191871,0.2550264849753103,4,0.009114467618893,4,0.0167186927916156,2,0.0293924014128199,2,0.0547398186552285,1,0.1307820703824543,2,0.0800872358976371,2,0.0547398186552285,2,0.0293924014128199,4,0.0167186927916156,4,4,4,4,4,2,activation_whitened,2,2,2.0246705394125857,4,1.5838882751632457,2,2,2,1.530783180144196,2,1.163982048325408,2,2,2,2.0246705394125857,4,1.5838882751632457,2,2,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
6,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.2386103419991775,32,0.0305350614550958,0.0305350614550958,0.2080752805440817,0.2080752805440817,best_observed_validation_loss_on_tested_rank_grid,0.002500442332208,0.2361098996669695,32,0.0346965670659774,16,0.0409388254822998,8,0.0513425895095039,4,0.0721501175639121,2,0.1345727017271366,4,0.0929576456183203,4,0.0721501175639121,8,0.0513425895095039,16,0.0409388254822998,32,8,8,8,8,8,activation_whitened,6,8,5.569071796816801,8,2.6933191527601275,4,4,4,3.849514069676575,4,1.8347648243282888,2,6,8,5.569071796816801,8,2.6933191527601275,4,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
7,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.2542049296922864,32,0.0104515874546583,0.0104515874546583,0.2437533422376281,0.2437533422376281,best_observed_validation_loss_on_tested_rank_grid,0.0024854249316894,0.251719504760597,16,0.0153266542994108,16,0.0226392545665397,8,0.0348269216784211,4,0.0592022559021839,4,0.1323282585734723,4,0.0835775901259467,4,0.0592022559021839,8,0.0348269216784211,16,0.0226392545665397,16,16,16,8,8,5,activation_whitened,5,8,4.794393903173019,8,3.132526940193625,4,5,8,4.213715303410438,8,2.610871626280776,4,5,8,4.794393903173019,8,3.132526940193625,4,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
8,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.3628599514149716,32,0.0189121279856233,0.0189121279856233,0.3439478234293483,0.3439478234293483,best_observed_validation_loss_on_tested_rank_grid,0.0024956074499265,0.3603643439650451,16,0.0257910844542102,16,0.0361095191570907,8,0.0533069103285581,8,0.0877016926714929,4,0.1908860397002974,4,0.1220964750144278,8,0.0877016926714929,8,0.0533069103285581,16,0.0361095191570907,16,16,16,8,8,7,activation_whitened,7,8,6.390084470579992,8,3.891308248689872,4,5,8,4.7854246828769815,8,2.4483397754168865,4,7,8,6.390084470579992,8,3.891308248689872,4,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
9,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.0679116135795828,32,0.0036066251646536,0.0036066251646536,0.0643049884149292,0.0643049884149292,best_observed_validation_loss_on_tested_rank_grid,0.0024973081150762,0.0654143054645065,1,0.0048927249329521,1,0.0068218745854,1,0.0100371240061465,1,0.0164676228476394,1,0.0357591193721181,1,0.0228981216891323,1,0.0164676228476394,1,0.0100371240061465,1,0.0068218745854,2,2,2,2,1,1,activation_whitened,1,1,1.1031082577250435,2,1.0110965382177788,2,1,1,1.100967534441682,2,1.0124063045514804,2,1,1,1.1031082577250435,2,1.0110965382177788,2,1,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
10,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.0537303011126012,32,0.0044078108857554,0.0044078108857554,0.0493224902268458,0.0493224902268458,best_observed_validation_loss_on_tested_rank_grid,0.0025129646727588,0.0512173364398424,2,0.0053942606902923,1,0.0068739353970976,1,0.0093400599084399,1,0.0142723089311245,1,0.0290690559991783,1,0.0192045579538091,1,0.0142723089311245,1,0.0093400599084399,1,0.0068739353970976,4,2,2,2,2,1,activation_whitened,1,1,1.239957483886874,2,1.0304426231428097,2,1,1,1.1050486200210266,2,1.0136877256335628,2,1,1,1.239957483886874,2,1.0304426231428097,2,1,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
11,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1755584374807861,32,0.0303236684516488,0.0303236684516488,0.1452347690291373,0.1452347690291373,best_observed_validation_loss_on_tested_rank_grid,0.0025162566021325,0.1730421808786535,32,0.0332283638322315,16,0.0375854069031056,16,0.0448471453545625,4,0.0593706222574762,2,0.1029410529662174,2,0.07389409916039,4,0.0593706222574762,16,0.0448471453545625,16,0.0375854069031056,32,16,16,16,8,6,activation_whitened,6,8,4.835323953422774,8,2.612011907379564,4,3,4,3.148309836395124,4,1.6010096175828152,2,6,8,4.835323953422774,8,2.612011907379564,4,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
