condition,seed,source_run_id,source_run_path,n_layers,n_rank_rows,config_sha256,metrics_sha256,summary_sha256,fit_sha256,git_revision,git_dirty,target_estimand,target_estimand_version,target_reference,target_denominator,analysis_plan_version,target_transform,predictor_transform
hard_knee,101,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,48,288,33f64557300ebfbab99496cb368af94648cbe0f1dfdec32fcaefa0dbaa574dda,a7216e00511a21c61596f49a148ccce51008c4d87db35e7c1c1a5e04c9d687ef,98ab64c3f87e4fe864d2b976a880eebe95252ae293f1edb0b1f749147ff06743,0c41a39b2baf9570f45ff3c155230966d8ac323366a5a77a6c3292e9318ac725,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
hard_knee,103,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,48,288,ca16d7850344a2adcf2f714ee4a517eaef5c74030010e20c6086e7ee458d43f1,ecbe27d62fde1b931636d7aae42605539aeb7be4d4b90780bfd01e3fd24ad622,4fbf747d0c00a8fab1261a986b890842749cbe17b87d317f18e6e562ec101aa9,9c0c447ccdc0ec97abdd5df45eb06b7a0885e5bda635ab9fa37f5aa1613e9f15,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
hard_knee,107,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,48,288,0db70841218ccd979abc4295b26cda406356e8a3aebb4b263a6e72bb365e5033,d8be6f2d40cd82bdebec445230c4ade54dfd7ad4227aa9392bbb1e24a3abcd3a,54d6b19986d0ea3a5e14edc02a5fbdf1a385510807722ff3f68ae439c27ad483,8987962f1551ba93065543faf026a6127efb3a88853c0abcdaee3d22431431c5,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
hard_knee,109,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,48,288,8a825f75443abe711eab412d5f05e805d840bfab1a1d20f833063eb353d3904a,8edf8e45002f4abbfd3067344c2ea6feb97db022a2c27dabd015c231eabe49a4,7f6aa1031a230a6819066be3bfbeb2158d2a96499c3414775bf2fe66e22f3ecd,67c636ed7eab3e2e43f163a368a1f24aefb68712edd1b3c5104b38272ad83819,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
hard_knee,113,20260622_142627_stage4_hard_s113,source_runs/20260622_142627_stage4_hard_s113,48,288,dd52852e38d8307add0df5b2b223bb9dc6a23fefd43bd84b76d97293beedf2ca,bcc99ffc1fd8db8156bc712818d46b3f49d273ef5fcfeaa9a01aee1a2e361965,f7d679856f9c25f5ef807bf6c84b9ab22938058b85193be231c2edc6240e54f6,b6af6b76443e276b2528b14b79181259960162ae4ed78aaf75da49dad7889cab,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
sample_limited,101,20260622_142937_stage4_sample_s101,source_runs/20260622_142937_stage4_sample_s101,48,288,f31d4e3908d44244889a4bba053124d96a200a6bde8c4f02f48484820e06e939,785e026e683f8bd2e9be21ece72d07f6558a3b863cf9992d8a63cc91007e6ec2,30597f0a2b58e47c1d3fb4476dbee57e6cdb1c2d78d8f9ffb06e4da40de417f7,f894b0616d341f17d645cf526f1b5b128bc49941c5de5681d4f93a13e1b25db0,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
sample_limited,103,20260622_143109_stage4_sample_s103,source_runs/20260622_143109_stage4_sample_s103,48,288,c8111a371e289137519c27af2b499fd02bcaa5fa3150f5a6e6d12cfff1cb842a,0c64b32c83b66ce31bb1d50da9ab141b447214cf9804b7015cd6b37efa9e9ded,82afe08395e630e83175a66b0b0ca4a818690ce79d9291bb785d0d52e54b70a4,e90b3434a8ffbfe0fe1b21b60d4939d2471c1984eb3d39e4b18f0d6366f89473,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
sample_limited,107,20260622_143241_stage4_sample_s107,source_runs/20260622_143241_stage4_sample_s107,48,288,3cf0137bc16a0df8223334da742540d44902555eabbb46d2a378a1baabe6eb32,900791de65598558ffb165cf61c4b7ad46cb5b013f905f327bbb227d3d2762fe,ea284a1c79ebaf7a4af758e3afde304291c215931c259d4d75d2f01463b8380b,ef316ff9ab362294d5d2a4a851f0bf8dc185e9cf8ebd2d0997d44b2773039a6a,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
sample_limited,109,20260622_143414_stage4_sample_s109,source_runs/20260622_143414_stage4_sample_s109,48,288,dd764dfa383a4f897685815b3c23d8091560ee66d8fbe3b2e90534491f7afd96,f187dfc394ec0f1c4b1d455df66295a1fbaccb3286b520ab02be4eff1eef7edb,25e9c50c5d1ab3a1eb76fd77fe063f457869ca1c962cae4b7571ee7ac49c7c24,36908227646efbfdc5980aff7ed945c14e18b5dd5ef81002d9eb42c9d2951c0f,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
sample_limited,113,20260622_143547_stage4_sample_s113,source_runs/20260622_143547_stage4_sample_s113,48,288,8d42e2fb27cc51ea3246384ceba7ba72a62219f868f449ebbaf027188e1b1f45,26c703d64bcbcc850526d4c556bea1fbb895ba84bc05491c4fcacaeb840419ad,9848405e3a2c7819a66c0084c60cdd72cc61bb57a4916f6883a0be77fdc9db2c,072826f713941290c38b3c4904ced598daffbf4dfd09bbe0fef1014c04bf183e,e78df5898c949b003dfde4a8ac568465a5188b6d,False,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,log2(rank),log2(1+s)
