run,seed,task_family,protocol_version,base_model_seed,base_train_data_seed,base_dropout_seed,base_eval_seed,adapt_eval_seed,exact_modular_evaluation,base_eval_examples,adapt_eval_examples,train_loss_last,base_task_loss,base_task_accuracy,adapt_task_loss_before_lora,adapt_task_accuracy_before_lora
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,910742520,1480121019,1608481069,2086771003,1167714671,False,1024,1024,0.0002864825655706,0.0002832037171174,1.0,11.123854160308838,0.0
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,synthetic_transformer_publication_protocol_v4,910742522,1480121021,1608481071,2086771005,1167714673,False,1024,1024,0.0003048131766263,0.0002932220886577,1.0,11.612930417060852,0.0
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,910742526,1480121025,1608481075,2086771009,1167714677,False,1024,1024,0.0002801502414513,0.0002814679792209,1.0,11.673393726348875,0.0
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,synthetic_transformer_publication_protocol_v4,910742528,1480121027,1608481077,2086771011,1167714679,False,1024,1024,0.0002812901511788,0.0002809294055623,1.0,11.61112630367279,0.0
transformer_publication_20260622T101458Z_associative_recall_seed113,113,associative_recall,synthetic_transformer_publication_protocol_v4,910742532,1480121031,1608481081,2086771015,1167714683,False,1024,1024,0.0002650251262821,0.0002680558100109,1.0,11.81348156929016,0.0
transformer_publication_20260622T101458Z_modular_seed101,101,modular,synthetic_transformer_publication_protocol_v4,953091247,363338058,1186300476,1293948974,425696930,True,961,961,0.0043883025646209,0.0044955751227755,1.0,7.4091645026430255,0.0
transformer_publication_20260622T101458Z_modular_seed103,103,modular,synthetic_transformer_publication_protocol_v4,953091249,363338060,1186300478,1293948976,425696932,True,961,961,0.0040478846058249,0.0041851697738682,1.0,10.08167581230743,0.0
transformer_publication_20260622T101458Z_modular_seed107,107,modular,synthetic_transformer_publication_protocol_v4,953091253,363338064,1186300482,1293948980,425696936,True,961,961,0.0041163191199302,0.0040034748304685,1.0,12.000680394524965,0.0
transformer_publication_20260622T101458Z_modular_seed109,109,modular,synthetic_transformer_publication_protocol_v4,953091255,363338066,1186300484,1293948982,425696938,True,961,961,0.0036614479031413,0.0036373821585792,1.0,11.263133792301618,0.0
transformer_publication_20260622T101458Z_modular_seed113,113,modular,synthetic_transformer_publication_protocol_v4,953091259,363338070,1186300488,1293948986,425696942,True,961,961,0.0044000595808029,0.0048586273780063,1.0,15.54475681689974,0.0
