run,seed,task_family,scaling_mode,site_name,base_loss,best_loss,best_rank,protocol_version,is_primary_scaling_mode,reference_alpha,scale_reference_rank,scale_at_reference_rank,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.7,recovery_rank_0.8,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.0.attn.k_proj,11.088844895362854,8.124438226222992,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,16,16,4,16,16,16
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.0.attn.o_proj,11.090392589569092,0.0037667082215193,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.0.attn.q_proj,11.084311842918396,8.10547387599945,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.0.attn.v_proj,11.09354543685913,0.006254197913222,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.0.mlp.fc2,11.101905107498167,0.0016864078788785,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.1.attn.k_proj,11.082871198654177,8.550139665603638,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,16,4,2,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.1.attn.o_proj,11.09208607673645,0.0034259029489476,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.1.attn.q_proj,11.0882807970047,8.438391089439392,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,4,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.1.attn.v_proj,11.09082007408142,0.0047414958826266,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,fixed_update_scale,blocks.1.mlp.fc2,11.093569159507751,0.0017633267270866,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,rslora,blocks.0.attn.k_proj,11.088844895362854,8.212509274482727,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,8,2,8,8,8
