task_family,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_runs,mean_adaptation_replicates,mean_actual_cost,mean_requested_budget,mean_val_loss,sem_val_loss,median_val_loss,mean_val_accuracy,sem_val_accuracy,median_val_accuracy,diverged_count
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,512,5,3.0,512.0,512.0,0.46750297844409944,0.08146652870246729,0.48896023258566856,0.9319010416666667,0.01580215060463461,0.9235026041666666,0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,1024,5,3.0,1024.0,1024.0,0.021630752598866772,0.0005350153949665761,0.022295277177666595,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,1536,5,3.0,1497.6,1536.0,0.009260541157952133,0.001169134087016787,0.008776188439999933,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,2048,5,3.0,2048.0,2048.0,0.0043324836898439535,0.0007299000283223171,0.004051644752810966,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,3072,5,3.0,3072.0,3072.0,0.0023457228031474597,0.0001145690917719815,0.0024438632487241334,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,4096,5,3.0,4096.0,4096.0,0.0014457511065604869,7.317749949777088e-05,0.0014673246672221002,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,6144,5,3.0,6144.0,6144.0,0.00094430642202492,3.4310191959332065e-05,0.0009532452992667666,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,512,5,3.0,512.0,512.0,0.4018017864475648,0.022480532692448447,0.38890347505609196,0.9995442708333332,0.00024359748611809908,0.9996744791666666,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,1024,5,3.0,998.4,1024.0,0.02222198303012793,0.004056169850417088,0.016081277125825435,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,1536,5,3.0,1536.0,1536.0,0.006021717101490687,0.00027124495137253194,0.006235581201811567,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,2048,5,3.0,2048.0,2048.0,0.00318352907973646,0.0002499842659041479,0.0032270376201873666,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,3072,5,3.0,3072.0,3072.0,0.0017478917511955599,0.0001130445491070848,0.0015783649723743332,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,4096,5,3.0,4096.0,4096.0,0.0012416369999603133,2.3931419865848345e-05,0.0012647764427431666,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,6144,5,3.0,6144.0,6144.0,0.0008648910108603866,1.9274879575645275e-05,0.0008690895871646667,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,512,5,3.0,512.0,512.0,0.3408201103409131,0.025723172681501243,0.3224922741452853,0.9998046875,0.00019531249999999998,1.0,0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1024,5,3.0,1024.0,1024.0,0.02110623558983201,0.0023163034123613573,0.019785325353344235,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1536,5,3.0,1510.4,1536.0,0.0062513390652990134,0.0010093861223056124,0.0048001687197635,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,2048,5,3.0,2035.2,2048.0,0.00319496790762054,0.000186599760152133,0.0033946554176509,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,3072,5,3.0,3059.2,3072.0,0.0016623795119812268,8.195435734914354e-05,0.0016233517526415666,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,4096,5,3.0,4096.0,4096.0,0.0012448024887513533,1.1989245707792435e-05,0.0012334088144901332,1.0,0.0,1.0,0
