task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,512,5,0.08697054845591387,0.05325983872283379,0.0,0.0,0.17444199013213318,0.5,0,3,-0.003971354166666666,0.007361666420517787
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1024,5,-0.053501307374487314,0.02951405861871329,-0.0237393306257824,-0.11324609432679911,-0.016192745479444666,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1536,5,-0.0013498153886758,0.000570811791344685,-0.0016663549079869993,-0.0022908576531335866,-0.0004022929080141271,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,2048,5,-0.00111396651482208,0.000140479018628997,-0.0011574391489072332,-0.0013407712837215286,-0.0008366376976482336,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,3072,5,-8.858816969826668e-06,7.610989424418391e-05,5.3811721348665945e-06,-0.00014239199420747995,0.0001246743602678266,0.875,2,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,4096,5,-0.00022468292542422662,6.640314455184155e-05,-0.00019092751123633316,-0.00033824877270188,-0.00011154760723001331,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6144,5,-8.971308852778669e-05,8.025892584236104e-06,-8.383693299643333e-05,-0.0001036158874436867,-7.581028961188669e-05,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,512,5,0.021269356459379198,0.04032315641065148,-0.011979454507430412,-0.04930655385057133,0.09184526676932973,0.6875,3,0,0.063671875,0.01059749058863742
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1024,5,-0.019340715984192985,0.0036168060187733906,-0.02004937684008237,-0.025770268356427532,-0.012225820713986969,0.0625,5,0,6.510416666666667e-05,6.510416666666667e-05
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1536,5,-0.00289062079197418,0.0007507763033259513,-0.002093868582354267,-0.004314621076143073,-0.0017483381670899598,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,2048,5,-0.002262921124929574,0.0003774123053731986,-0.0020509109114451997,-0.003035300339494527,-0.0017395843984559334,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,3072,5,-0.0006066898689217267,0.00011109222624147995,-0.0006664077664026999,-0.0007997172234657533,-0.0004136625143777,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,4096,5,-0.0004287970320244,4.982830519872349e-05,-0.0003934757357152666,-0.0005122550889306267,-0.0003480629898452534,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6144,5,-0.00016912849969232,2.047466132480174e-05,-0.00016799264509853335,-0.00020476597953047998,-0.0001334110823033,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,5,-0.03971231964727244,0.04500594061168167,-0.07142669955889387,-0.11691968043645226,0.03749504114190739,0.4375,3,0,0.06393229166666667,0.010671722803229835
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,5,-0.05402582438352208,0.029682717450585105,-0.022704783361405134,-0.11430760777244967,-0.01919882878040275,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,5,-0.003806456840053819,0.0005146409198753966,-0.0039052172214724,-0.004694859926045574,-0.00296808794761696,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,5,-0.0021401085852024463,0.0005092882953830559,-0.0018152570022114667,-0.0031489361834246797,-0.00152345597161912,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,5,-0.00071728757272164,9.713752538295891e-05,-0.0007357359718298331,-0.0008901023781315335,-0.0005618194205453533,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,5,-0.00042563154323336003,2.831130223600865e-05,-0.00042873357597273336,-0.00047594532079527335,-0.00037108075339348007,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,5,-0.00016859515211157999,1.7114347731204893e-05,-0.00017180125481293333,-0.00019755309476753328,-0.00014006944838911999,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,5,-0.03971231964727244,0.04500594061168167,-0.07142669955889387,-0.11691968043645226,0.03749504114190738,0.4375,3,0,0.06393229166666667,0.010671722803229835
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,5,-0.05282168174162507,0.03005575943663273,-0.022704783361405134,-0.11354264457089207,-0.016790543496608735,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,5,-0.00368366100786564,0.0008357340366619058,-0.003836863227964666,-0.0051351958749970995,-0.002260517911054173,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,2048,5,-0.0021770918276161,0.0005049641535375183,-0.0018152570022114667,-0.003185919425838333,-0.001525474865532787,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,5,-0.0007473872033491133,0.00010305014119761181,-0.0007901142283420334,-0.0009220793348504334,-0.0005637846169217067,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,5,-0.0004155240302983,4.171557189351698e-05,-0.00045251573707596674,-0.00047657745211229324,-0.00033330995841728667,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,5,-0.00016826709082428667,1.30153191059387e-05,-0.00016921653635413334,-0.0001906046900937266,-0.00014639047682673336,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,512,5,0.12098510799308619,0.05014447359453482,0.1700727976858616,0.03401455953717232,0.20795565644900008,0.25,0,2,-0.010546874999999999,0.009185572692371932
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1024,5,-0.053501307374487314,0.02951405861871329,-0.0237393306257824,-0.11324609432679911,-0.016890633804723637,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1536,5,-0.0002270902468202063,0.0005866950981478905,-0.00017625530017546654,-0.0011319716655028263,0.0008192229666747003,0.75,3,1,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,2048,5,-0.0005620265263132668,0.00013493375658270608,-0.0004421215756640999,-0.0008254357555415402,-0.00035959382269842,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,3072,5,7.34065271293133e-05,3.5376840566585176e-05,4.8150614020399905e-05,1.3584805613693339e-05,0.00013763441335565993,0.125,0,1,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,4096,5,-0.00018698974357297336,4.9599975222274975e-05,-0.00019092751123633316,-0.00027849379694090665,-9.980076283682001e-05,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6144,5,-7.521538015376668e-05,2.1955518898473363e-05,-8.383693299643333e-05,-0.00011310056482519337,-3.364711252894e-05,0.125,4,1,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,512,5,0.10483063844343028,0.0656141003630119,0.0,0.0,0.22682689987123011,0.5,0,3,-0.0018229166666666665,0.004067838372868049
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,1024,5,-0.13208443770805994,0.09790069654997631,-0.0284290480970716,-0.3314907631604001,-0.015427649013387678,0.0625,5,0,0.04147135416666667,0.040903295669486514
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,1536,5,-0.0006033300926598467,0.0003176964313740244,-0.0005435761995613665,-0.0011319371638819663,-6.361173776287374e-05,0.1875,4,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,2048,5,-0.0009759363155656866,0.00013023142975081156,-0.0010191429464612002,-0.0012047660323636065,-0.0007479746069293601,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,3072,5,-0.00019315241855414,3.2325924626660176e-05,-0.00023290586250370015,-0.00024187276236868675,-0.00013018742029089993,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,4096,5,-0.0001905426383018467,2.292023372961187e-05,-0.00017702344727389997,-0.00023475346097256668,-0.00015367493615486003,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,6144,5,-8.950748063700664e-05,2.1036578992015736e-05,-0.00011099223775090003,-0.00012302949083580665,-4.837079177373993e-05,0.0625,5,0,0.0,0.0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,512,5,0.06822499719758829,0.03944921973133822,0.024353777368863405,0.003567487001419078,0.1430436863253514,0.25,1,0,0.055078125,0.013872840934837344
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,1024,5,-0.01519404407590628,0.004487348205727717,-0.0143125056832408,-0.023468678188510252,-0.007507601814965401,0.0625,5,0,0.0004557291666666667,0.0003796192639873242
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,1536,5,-0.00253626024738576,0.0007702119834467214,-0.0022167586236416337,-0.00390354567013372,-0.0012197971402201802,0.0625,5,0,0.0,0.0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,2048,5,-0.0015866754916108402,0.00021664189006051696,-0.0016483674019885,-0.00193899189083214,-0.0012038934995264867,0.0625,5,0,0.0,0.0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,3072,5,-0.0005695163262620067,7.838916110312909e-05,-0.0005075104030159667,-0.0007041287957690733,-0.00043490385675493994,0.0625,5,0,0.0,0.0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,4096,5,-0.00027977094772117333,6.314931191147046e-05,-0.0002109337753305999,-0.00041134382869737336,-0.00019404237197402668,0.0625,5,0,0.0,0.0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,6144,5,-0.00014282391542414,1.954274174722889e-05,-0.0001466128233005,-0.00017669605488966,-0.00010895177595862001,0.0625,5,0,0.0,0.0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,5,0.0004292535285154955,0.04295076608839751,0.011561761299769066,-0.07606533703704674,0.07181725526849428,1.0,2,0,0.055403645833333334,0.01393571377851562
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,5,-0.12977547405753287,0.09796574326434745,-0.022055595957984536,-0.3298054079835614,-0.014575334001953415,0.0625,5,0,0.04147135416666667,0.040903295669486514
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,5,-0.00224956208451962,0.0004082793094427203,-0.0026284866617061337,-0.00288793513318524,-0.0014519484209207267,0.0625,5,0,0.0,0.0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,5,-0.0013706301135243866,0.0002091948859792037,-0.0013068554108030667,-0.0017895552106589666,-0.001068134460365407,0.0625,5,0,0.0,0.0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,5,-0.00057842063736946,7.15358256016796e-05,-0.0005551320549178333,-0.00070177455781958,-0.00045398226357064016,0.0625,5,0,0.0,0.0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,5,-0.00024647235598725337,6.790337319065502e-05,-0.00026032786020853334,-0.0003694482642458601,-0.00012100470679193333,0.0625,5,0,0.0,0.0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,5,-0.00013115865682871997,1.7236464952077025e-05,-0.00013662324393713337,-0.00016137139221730664,-0.00010094592144013333,0.0625,5,0,0.0,0.0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,5,0.0004292535285154955,0.04295076608839751,0.011561761299769066,-0.07606533703704674,0.07181725526849428,1.0,2,0,0.055403645833333334,0.01393571377851562
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,5,-0.12826003123385213,0.09842438363250552,-0.022055595957984536,-0.328781295226266,-0.011544448354591934,0.0625,5,0,0.04147135416666667,0.040903295669486514
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,5,-0.002547487705790747,0.0007223571246645216,-0.0027410917488548,-0.0037928545731119668,-0.0012184341011258469,0.0625,5,0,0.0,0.0
