task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,512,5,-0.11802111590902012,0.08828711994730426,-0.05460438753167792,-0.2700493464867274,0.02450236057241757,0.3125,4,0,0.023502604166666663,0.041978735531090966
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1024,5,-0.053501307374487314,0.02951405861871329,-0.0237393306257824,-0.11324609432679911,-0.016192745479444666,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1536,5,-0.004754159913864,0.00023541204231652076,-0.004813341908932967,-0.005125619009292393,-0.004317154805175974,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,2048,5,-0.0026234289437221865,0.00043868738314871354,-0.0028143849631305667,-0.003362511713445806,-0.0018249009891102466,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,3072,5,-0.0005275614385027601,9.232584536706645e-05,-0.0004858872319649335,-0.0006872493278934,-0.0003678735491121201,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,4096,5,-0.00064718617262164,0.00017726480202435183,-0.0004925157215135999,-0.0009898947095886598,-0.00040406673991433327,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6144,5,-0.0001619726613474334,1.1296820054882414e-05,-0.00016852041881066672,-0.00017922721890498006,-0.0001404246911988667,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,512,5,-0.18372230790555477,0.12475803683131073,-0.10481688628594078,-0.40396741032600403,0.03652279451489447,0.3125,3,0,0.09114583333333333,0.05320279278607119
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1024,5,-0.05291007694322616,0.027419074900513016,-0.029603627665589233,-0.10801693973286701,-0.02147283686014514,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1536,5,-0.007992983970325447,0.0009443918330880999,-0.007947935567547866,-0.009726707237617425,-0.00626468642149122,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,2048,5,-0.00377238355382968,0.000430064189899508,-0.004091343735732766,-0.0044881759929315534,-0.0029649608729717934,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,3072,5,-0.00112539249045466,0.00011430721762560975,-0.0013042401211957333,-0.0013103662213931734,-0.0009169453182645866,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,4096,5,-0.0008513002792218134,0.00022967402758180717,-0.0006517595563006333,-0.0013114878024983534,-0.0005948227005622734,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6144,5,-0.0002413880725119667,2.469908702405826e-05,-0.00020869764557576666,-0.00028978099920400665,-0.00020213764025054002,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,5,-0.24470398401220642,0.12327591675707289,-0.17122808719674745,-0.46183406288425133,-0.02757390514016153,0.1875,4,0,0.09140625,0.053181118713958864
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,5,-0.05402582438352208,0.029682717450585105,-0.022704783361405134,-0.11430760777244967,-0.01919882878040275,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,5,-0.00776336200651712,0.0008653730023542953,-0.0076219495385885004,-0.00930235546159868,-0.006322745074673247,0.0625,5,0,0.0,0.0
