task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,loss_ratio_vs_uniform_fill,actual_cost,uniform_fill_cost,cost_gap_vs_uniform_fill
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,0,uniform,uniform,uniform,cap_baseline,False,10.748825009912252,-0.9990234375,31.43181194018035,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.10701109096407893,0.0009765625,0.6970328019360911,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.10701109096407893,0.0009765625,0.6970328019360911,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,0.024373758584260885,0.0009765625,1.0690063924966287,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.016178440302610397,0.0009765625,0.9541959932996906,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.016178440302610397,0.0009765625,0.9541959932996906,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,0,uniform,uniform,uniform,cap_baseline,False,10.473912328481674,-0.888671875,17.674942737828097,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.48691126517951494,0.111328125,0.22481521606847113,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.48691126517951494,0.111328125,0.22481521606847113,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.22549027949571615,0.111328125,0.6410092637205619,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.35102069377899175,0.111328125,0.4411591595395871,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.35102069377899175,0.111328125,0.4411591595395871,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,0,uniform,uniform,uniform,cap_baseline,False,10.718986824154854,-0.998046875,28.98337882152447,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.22584654763340953,0.001953125,0.4103967472263899,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.22584654763340953,0.001953125,0.4103967472263899,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,0.01700897142291069,0.001953125,1.044404242537104,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.09143545851111412,0.001953125,0.7612952497086374,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.09143545851111412,0.001953125,0.7612952497086374,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,1,uniform,uniform,uniform,cap_baseline,False,10.85322539322078,-0.9990234375,46.859697964249506,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,1,effective_rank,effective_rank,effective_rank,candidate,False,-0.08990711532533172,0.0009765625,0.6201025037006908,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,1,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.08990711532533172,0.0009765625,0.6201025037006908,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,1,gradient_norm,gradient_norm,gradient_norm,candidate,False,0.015202127397060394,0.0009765625,1.064235740582583,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,0.025936180725693703,0.0009765625,1.1095918836412861,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,0.025936180725693703,0.0009765625,1.1095918836412861,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,1,uniform,uniform,uniform,cap_baseline,False,10.51122536510229,-0.994140625,19.16472093416379,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,1,effective_rank,effective_rank,effective_rank,candidate,False,-0.4449103735387326,0.005859375,0.2311388543835108,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,1,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.4449103735387326,0.005859375,0.2311388543835108,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,1,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.3270383793860674,0.005859375,0.4348365019332561,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.32323516719043255,0.005859375,0.44140893148238153,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.32323516719043255,0.005859375,0.44140893148238153,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,uniform,uniform,uniform,cap_baseline,False,10.700619626790283,-0.9931640625,28.48913217163473,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,effective_rank,effective_rank,effective_rank,candidate,False,-0.23234148137271407,0.0068359375,0.4031312285488906,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.23234148137271407,0.0068359375,0.4031312285488906,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.15291839838027957,0.0068359375,0.607163490418256,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.13677367381751537,0.0068359375,0.6486381416869867,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.13677367381751537,0.0068359375,0.6486381416869867,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,uniform,uniform,uniform,cap_baseline,False,10.848050510510802,-1.0,46.6758576424422,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,effective_rank,effective_rank,effective_rank,candidate,False,0.03310504369437689,-0.115234375,1.1393892166676487,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,soft_dimension,soft_dimension,soft_dimension,candidate,True,0.03310504369437689,-0.115234375,1.1393892166676487,512,512,0
