task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,n_budgets,mean_adaptation_replicates,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform,mean_actual_cost
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.0026012700892308616,0.0,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.027577401926724386,0.0017206101190476192,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.024465644891495778,-0.004557291666666666,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.02241361224185398,-0.004650297619047618,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.02435118522165188,4.650297619047619e-05,2633.1428571428573
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.004813945891253982,-0.0036998496936061867,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.015099513881681202,-0.005665394843334504,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,-0.051742415817049386,0.00982772574864148,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.07900366696033444,-0.022661579373337976,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed113,113,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.051704627133415726,-0.009596485142791088,2026.6666666666667
