task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,n_budgets,mean_adaptation_replicates,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform,mean_actual_cost
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.0027258549962425665,0.0,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.013256903783864498,0.005487351190476191,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,0.007458498681011236,0.005487351190476191,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,0.008482583981060002,0.005487351190476191,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.0026012700892308616,0.0,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.002256961870617019,0.0,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.016337739330386587,0.006091889880952381,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,0.009678890281758779,0.006091889880952381,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,0.01091510175527739,0.006091889880952381,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.0022636450012214573,0.0,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.004199787334419833,0.0,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.017019381840890704,0.0028366815476190475,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,0.008805713906310417,0.0028366815476190475,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,0.0108142419353715,0.0028366815476190475,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.004168256434370862,0.0,2624.0
