task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_adaptation_replicates,actual_cost,requested_budget,final_val_loss,final_val_accuracy,diverged_count
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,512,3,512.0,512.0,0.22118641808629033,0.9615885416666666,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,1024,3,1024.0,1024.0,0.019699862071623334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,1536,3,1472.0,1536.0,0.008347971869322101,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,2048,3,2048.0,2048.0,0.004051644752810966,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,3072,3,3072.0,3072.0,0.0024438632487241334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,4096,3,4096.0,4096.0,0.0014673246672221002,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,candidate,False,6144,3,6144.0,6144.0,0.0008945892889944667,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,512,3,512.0,512.0,0.33816746560235816,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,1024,3,1024.0,1024.0,0.015701305237598634,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,1536,3,1536.0,1536.0,0.006235581201811567,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,2048,3,2048.0,2048.0,0.0032270376201873666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,3072,3,3072.0,3072.0,0.0020379087315328666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,4096,3,4096.0,4096.0,0.0012647764427431666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,candidate,False,6144,3,6144.0,6144.0,0.0008571879637505,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,512,3,512.0,512.0,0.29842672497034073,1.0,0
