task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_adaptation_replicates,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform,actual_cost,reference_cost,cost_gap
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,512,3,0.0,0.0,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1024,3,-0.016050820006057665,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1536,3,-0.0016663549079869993,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,2048,3,-0.0012263037788216,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,3072,3,0.00012435029202606667,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,4096,3,-0.00019092751123633316,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6144,3,-7.092906162143332e-05,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,512,3,0.11698104751606785,0.038411458333333336,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.02004937684008237,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.0012990229297429332,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0020509109114451997,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,3072,3,-0.0002816042251652001,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,4096,3,-0.0003934757357152666,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6144,3,-0.00010833038686539997,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,3,0.07724030688405038,0.038411458333333336,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,3,-0.0194202887360007,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,3,-0.0026324259621711664,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,3,-0.0018289659540945,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,3,-0.0005886763683520333,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,3,-0.0004248433639683,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,3,-0.00013561573238503332,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,3,0.07724030688405038,0.038411458333333336,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,3,-0.013399575526515667,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,3,-0.0012419864845772332,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,2048,3,-0.0020138821661627665,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,3,-0.0005886763683520333,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,3,-0.00048605581105219995,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,3,-0.00013204265997046667,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,512,3,0.0,0.0,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1024,3,-0.016050820006057665,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1536,3,-0.0016663549079869993,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,2048,3,-0.0003542094297396666,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,3072,3,0.00012435029202606667,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,4096,3,-0.00019092751123633316,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6144,3,-7.092906162143332e-05,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,512,3,0.0,0.0,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,1024,3,-0.0139168757790079,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,1536,3,-0.0005435761995613665,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,2048,3,-0.0010600341483950333,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,3072,3,-7.763432707483318e-05,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,4096,3,-0.0001336411029721334,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,6144,3,-6.697153730786669e-05,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,512,3,0.13411217307051024,0.042643229166666664,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.016731787822209302,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.0006265269670014331,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0016483674019885,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,3072,3,-0.00036825655358069985,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,4096,3,-0.0002871762117138334,0.0,4096.0,4096.0,0.0
