task_family,scaling_mode,budget,best_loss_rule,count
associative_recall,fixed_update_scale,512,effective_rank,1
associative_recall,fixed_update_scale,512,marginal_gain_edge,4
associative_recall,fixed_update_scale,1024,effective_rank,1
associative_recall,fixed_update_scale,1024,gradient_norm,3
associative_recall,fixed_update_scale,1024,marginal_gain_edge,1
associative_recall,fixed_update_scale,1536,gradient_norm,1
associative_recall,fixed_update_scale,1536,marginal_gain_edge,3
associative_recall,fixed_update_scale,1536,marginal_gain_soft,1
associative_recall,fixed_update_scale,2048,gradient_norm,4
associative_recall,fixed_update_scale,2048,marginal_gain_edge,1
associative_recall,fixed_update_scale,3072,gradient_norm,1
associative_recall,fixed_update_scale,3072,marginal_gain_edge,4
associative_recall,fixed_update_scale,4096,gradient_norm,2
associative_recall,fixed_update_scale,4096,marginal_gain_soft,3
associative_recall,fixed_update_scale,6144,gradient_norm,2
associative_recall,fixed_update_scale,6144,marginal_gain_edge,2
associative_recall,fixed_update_scale,6144,marginal_gain_soft,1
associative_recall,rslora,512,effective_rank,1
associative_recall,rslora,512,marginal_gain_edge,4
associative_recall,rslora,1024,effective_rank,2
associative_recall,rslora,1024,gradient_norm,3
associative_recall,rslora,1536,gradient_norm,4
associative_recall,rslora,1536,marginal_gain_soft,1
associative_recall,rslora,2048,gradient_norm,3
associative_recall,rslora,2048,marginal_gain_edge,2
associative_recall,rslora,3072,gradient_norm,3
associative_recall,rslora,3072,marginal_gain_edge,2
associative_recall,rslora,4096,gradient_norm,3
associative_recall,rslora,4096,marginal_gain_edge,1
associative_recall,rslora,4096,marginal_gain_soft,1
associative_recall,rslora,6144,effective_rank,1
associative_recall,rslora,6144,gradient_norm,3
associative_recall,rslora,6144,marginal_gain_edge,1
associative_recall,standard,512,effective_rank,2
associative_recall,standard,512,gradient_norm,1
associative_recall,standard,512,marginal_gain_edge,2
associative_recall,standard,1024,effective_rank,2
associative_recall,standard,1024,gradient_norm,3
associative_recall,standard,1536,gradient_norm,4
associative_recall,standard,1536,marginal_gain_soft,1
associative_recall,standard,2048,gradient_norm,2
associative_recall,standard,2048,marginal_gain_edge,3
associative_recall,standard,3072,gradient_norm,2
associative_recall,standard,3072,marginal_gain_edge,3
associative_recall,standard,4096,effective_rank,2
associative_recall,standard,4096,gradient_norm,2
associative_recall,standard,4096,marginal_gain_soft,1
associative_recall,standard,6144,effective_rank,1
associative_recall,standard,6144,gradient_norm,2
associative_recall,standard,6144,marginal_gain_edge,1
associative_recall,standard,6144,soft_dimension,1
modular,fixed_update_scale,512,effective_rank,2
modular,fixed_update_scale,512,gradient_norm,1
modular,fixed_update_scale,512,marginal_gain_edge,1
modular,fixed_update_scale,512,marginal_gain_soft,1
modular,fixed_update_scale,1024,gradient_norm,2
modular,fixed_update_scale,1024,marginal_gain_edge,2
modular,fixed_update_scale,1024,uniform_fill,1
modular,fixed_update_scale,1536,marginal_gain_edge,3
modular,fixed_update_scale,1536,soft_dimension,1
modular,fixed_update_scale,1536,uniform_fill,1
modular,fixed_update_scale,2048,effective_rank,3
modular,fixed_update_scale,2048,marginal_gain_edge,2
modular,fixed_update_scale,3072,gradient_norm,2
modular,fixed_update_scale,3072,marginal_gain_edge,2
modular,fixed_update_scale,3072,marginal_gain_soft,1
modular,fixed_update_scale,4096,effective_rank,1
modular,fixed_update_scale,4096,gradient_norm,2
modular,fixed_update_scale,4096,marginal_gain_edge,1
modular,fixed_update_scale,4096,soft_dimension,1
modular,rslora,512,effective_rank,2
modular,rslora,512,gradient_norm,1
modular,rslora,512,marginal_gain_soft,1
modular,rslora,512,uniform_fill,1
modular,rslora,1024,gradient_norm,1
modular,rslora,1024,marginal_gain_edge,1
modular,rslora,1024,soft_dimension,1
modular,rslora,1024,uniform_fill,2
modular,rslora,1536,effective_rank,1
modular,rslora,1536,marginal_gain_edge,2
modular,rslora,1536,soft_dimension,1
modular,rslora,1536,uniform_fill,1
modular,rslora,2048,effective_rank,1
modular,rslora,2048,gradient_norm,2
modular,rslora,2048,marginal_gain_edge,2
modular,rslora,3072,gradient_norm,2
modular,rslora,3072,marginal_gain_edge,1
modular,rslora,3072,marginal_gain_soft,2
modular,rslora,4096,effective_rank,2
modular,rslora,4096,gradient_norm,1
modular,rslora,4096,marginal_gain_edge,1
modular,rslora,4096,soft_dimension,1
modular,standard,512,effective_rank,2
modular,standard,512,gradient_norm,1
modular,standard,512,marginal_gain_edge,1
modular,standard,512,marginal_gain_soft,1
modular,standard,1024,effective_rank,2
modular,standard,1024,gradient_norm,1
modular,standard,1024,marginal_gain_edge,1
modular,standard,1024,soft_dimension,1
modular,standard,1536,marginal_gain_edge,1
modular,standard,1536,marginal_gain_soft,1
modular,standard,1536,soft_dimension,2
modular,standard,1536,uniform_fill,1
modular,standard,2048,effective_rank,1
modular,standard,2048,gradient_norm,2
modular,standard,2048,marginal_gain_edge,1
modular,standard,2048,soft_dimension,1
modular,standard,3072,gradient_norm,2
modular,standard,3072,marginal_gain_edge,1
modular,standard,3072,marginal_gain_soft,2
modular,standard,4096,effective_rank,1
modular,standard,4096,gradient_norm,3
modular,standard,4096,marginal_gain_edge,1
